이름,작가/그림,장르,요일,추천수,별점(총),별점(화),총화수,댓글,줄거리,이미지,플랫폼,링크,업데이트
흑막 약혼자가 내 꽃길을 방해한다,,"판타지,로맨스",월,42,"3.7,15","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.7,3.5,3.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",28,"320화까지 고구마 유지네요묵히시길 추천 드립니다특히 20화에서 여주 빡대갈짓 하고지혼자 전해졌겠지 하고 상처받아있는거보고욕나왔네요 전해달라고 하면 전해준다는 발상은뭔 ㅂㅅ같은 생각이지?                            7||4아직까지는 그림체, 스토리 무난함                                                                    2024.02.16 01:36                                    0 아직까지는 그림체, 스토리 무난함|3보기                                                        남주가 생각보다 똥을 많이 싸는데 여주는 이전부터 성녀로 추대받'았'던 인물이여서 인간관계에 있어 여러모로 스트레스를 많이 받아 주변관계를 잘 파악하지 못합니다.해서 본인이 어떻게든 잘 회피하고자 하는데 남주가 하도 똥을 많이 싸서 꽤 애먹는 것 같은 느낌이 강합니다.솔직히 ... '착각물' 좋아하시는 사람 아니라면 추천드리기 조금 거시기 합니다.                                                                    2024.02.16 01:52                                    6 남주가 생각보다 똥을 많이 싸는데 여주는 이전부터 성녀로 추대받'았'던 인물이여서 인간관계에 있어 여러모로 스트레스를 많이 받아 주변관계를 잘 파악하지 못합니다.해서 본인이 어떻게든 잘 회피하고자 하는데 남주가 하도 똥을 많이 싸서 꽤 애먹는 것 같은 느낌이 강합니다.솔직히 ... '착각물' 좋아하시는 사람 아니라면 추천드리기 조금 거시기 합니다.|320화까지 고구마 유지네요묵히시길 추천 드립니다특히 20화에서 여주 빡대갈짓 하고지혼자 전해졌겠지 하고 상처받아있는거보고욕나왔네요 전해달라고 하면 전해준다는 발상은뭔 ㅂㅅ같은 생각이지?                                                                    2024.02.16 02:35                                    7 20화까지 고구마 유지네요묵히시길 추천 드립니다특히 20화에서 여주 빡대갈짓 하고지혼자 전해졌겠지 하고 상처받아있는거보고욕나왔네요 전해달라고 하면 전해준다는 발상은뭔 ㅂㅅ같은 생각이지?|5신작이구만~그림체 좋을지도?                                                                    2024.02.16 03:11                                    0 신작이구만~그림체 좋을지도?|5히히 맛있다                                                                    2024.02.16 05:14                                    0 히히 맛있다|4최신작중에서 꽤 스토리/그림이 좋게 시작한듯다만 고구마/눈치없음은 짧게 갔으면                                                                    2024.02.16 10:28                                    1 최신작중에서 꽤 스토리/그림이 좋게 시작한듯다만 고구마/눈치없음은 짧게 갔으면|5비슷한 양산형들만보다가 간만에 신선하게 재밌음                                                                    2024.02.16 11:09                                    0 비슷한 양산형들만보다가 간만에 신선하게 재밌음|4볼만해~~                                                                    2024.02.16 17:44                                    1 볼만해~~|5그림체 매우 합격.. 스토리도 그럭저럭..                                                                    2024.02.16 22:03                                    0 그림체 매우 합격.. 스토리도 그럭저럭..|4무난무난함                                                                    2024.02.17 00:41                                    0 무난무난함|1인물들 전부 병ㅅ들 같음그작이 불쌍하다                                                                    2024.02.17 02:57                                    1 인물들 전부 병ㅅ들 같음그작이 불쌍하다|3나는 근데 선도 제대로 못 긋는 인간상도 이해는 감..누가 기대도,희망도 없이 살아가고 싶겠음?그런게 다 박살나고 없을때나 선긋고 떠날 수 있지.그리고 힘든 상황도 지내다보면 익숙해져서 참을만 함. 군대도 그러지않누? ㅋㅋㅋ 두번은 못 가겠지만암튼, 그래서 여주도 멍청하게 참는걸 수도 있음. 모두가 상상하고 계획하는걸 뚝딱 해낼 수 없다고 생각함.그래서 여주 쉴드는 끝이고,남주..때문에 3점 드립니다남주 너무 트롤임                                                                    2024.02.22 19:36                                    1 나는 근데 선도 제대로 못 긋는 인간상도 이해는 감..누가 기대도,희망도 없이 살아가고 싶겠음?그런게 다 박살나고 없을때나 선긋고 떠날 수 있지.그리고 힘든 상황도 지내다보면 익숙해져서 참을만 함. 군대도 그러지않누? ㅋㅋㅋ 두번은 못 가겠지만암튼, 그래서 여주도 멍청하게 참는걸 수도 있음. 모두가 상상하고 계획하는걸 뚝딱 해낼 수 없다고 생각함.그래서 여주 쉴드는 끝이고,남주..때문에 3점 드립니다남주 너무 트롤임|3아직은 잘 모르겠다........ 25화라서 그런가... 조금더 맛보기로 결정함                                                                    2024.03.22 23:35                                    0 아직은 잘 모르겠다........ 25화라서 그런가... 조금더 맛보기로 결정함|1여주 머리 꽃밭임                                                                    7일전                                    0 여주 머리 꽃밭임|5이 만화는 충분히 칭찬 받을 만한 점이 많음.위에 베플에 고구마가 많다는말에 좀 걱정스러워서 묵힐라다가 오늘 하루 우울해서 좀 끄적여봤는데흔한 로판에서 나오는 그런 개답답 고구마가 아님. 그냥 약간의 오해와 착각의 뻔한듯한 스토리전개임.개인적인 취향차이일수는 있겠지만, 양판소기준 여주말고 원작여주가 고구마를 가동시키는 제 1등급인데, 이작품은 그렇지 않은듯함. 여기에 그림체 깔끔하니 괜찮고, 1화당 분량도 길고. 이건 진짜 칭찬해줘야하는 로판임. 14화정도까진 봐줄만했는데20화까지보니까 슬슬 고구마 강도가 조금 강해지고 있음. 다만 아주 흐믈거리는 물고구마 강도이지만 그래도 좀 ....쌔해지기 시작함;;ㅋㅋ                                                                    2일전                                    0 이 만화는 충분히 칭찬 받을 만한 점이 많음.위에 베플에 고구마가 많다는말에 좀 걱정스러워서 묵힐라다가 오늘 하루 우울해서 좀 끄적여봤는데흔한 로판에서 나오는 그런 개답답 고구마가 아님. 그냥 약간의 오해와 착각의 뻔한듯한 스토리전개임.개인적인 취향차이일수는 있겠지만, 양판소기준 여주말고 원작여주가 고구마를 가동시키는 제 1등급인데, 이작품은 그렇지 않은듯함. 여기에 그림체 깔끔하니 괜찮고, 1화당 분량도 길고. 이건 진짜 칭찬해줘야하는 로판임.14화정도까진 봐줄만했는데20화까지보니까 슬슬 고구마 강도가 조금 강해지고 있음. 다만 아주 흐믈거리는 물고구마 강도이지만 그래도 좀 ....쌔해지기 시작함;;ㅋㅋ","신탁을 잘못 해석해 탄생한 가짜 성녀. 제국을 속인 사기꾼. 가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀. 그게 원작에서의 내 역할이었다. 책 속에 환생했다는 것을 알게 된 후, 나는 결심했다 이 나라에서는 도저히 더럽고 치사해서 못 살겠다. 답은 망명뿐이야! 망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다. 아무도 죽이지 않고, 아무도 시기하지 않고. 그런데, 뭔가 이상하다. 원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다. 이번엔 내가 안 그랬는데...?",src/img/흑막약혼자가내꽃길을방해한다.png,,,"2024.04.10,2024.02.16"
당신이 원하는 게 제 심장인가요,,"판타지,로맨스",월,11,"2.1,13","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",81,"1ㅅ발 별점에 속았네 대가리꽃밭+여장을 좋아하는 남주 보고싶은 사람은 보세요 반바지입은 쇼타+능력이 만렙이라 성장이멈춰 8살 아이의 몸으로 야스도 하고 남주도 낳고 심지어는 싸이코패스라는 설정이 있는 빌런 보고싶은 사람은 보세요 난 굳이 호불호 씨게갈릴 설정들을 넣었어야했나 싶네ㅅㅂ 솔직히 애기몸으로 야스하고 남주낳고 ㅈㄹ했단 사실이 너무 역겨워서 하차함 그림체가 팍 좋은것도 아님; 작가의 취향이 의심되는 웹툰                            7||5용왕도 간만 달라고 했는데저기는 심장을 달라고 하네아즈텍이냐                                                                    2022.08.22 16:58                                    6 용왕도 간만 달라고 했는데저기는 심장을 달라고 하네아즈텍이냐|5쇼타충 황제 매우 맘에 안들어...으으ㅡㅡㅡ......50넘게 처먹었으면서 왜 애새끼 모습을 하고있냐고 역겹네                                                                    2022.08.22 17:33                                    0 쇼타충 황제 매우 맘에 안들어...으으ㅡㅡㅡ......50넘게 처먹었으면서 왜 애새끼 모습을 하고있냐고 역겹네|1ㅅ발 별점에 속았네 대가리꽃밭+여장을 좋아하는 남주 보고싶은 사람은 보세요 반바지입은 쇼타+능력이 만렙이라 성장이멈춰 8살 아이의 몸으로 야스도 하고 남주도 낳고 심지어는 싸이코패스라는 설정이 있는 빌런 보고싶은 사람은 보세요 난 굳이 호불호 씨게갈릴 설정들을 넣었어야했나 싶네ㅅㅂ 솔직히 애기몸으로 야스하고 남주낳고 ㅈㄹ했단 사실이 너무 역겨워서 하차함 그림체가 팍 좋은것도 아님; 작가의 취향이 의심되는 웹툰                                                                    2022.08.22 17:39                                    7 ㅅ발 별점에 속았네대가리꽃밭+여장을 좋아하는 남주 보고싶은 사람은 보세요반바지입은 쇼타+능력이 만렙이라 성장이멈춰 8살 아이의 몸으로 야스도 하고 남주도 낳고 심지어는 싸이코패스라는 설정이 있는 빌런 보고싶은 사람은 보세요난 굳이 호불호 씨게갈릴 설정들을 넣었어야했나 싶네ㅅㅂ솔직히 애기몸으로 야스하고 남주낳고 ㅈㄹ했단 사실이 너무 역겨워서 하차함 그림체가 팍 좋은것도 아님; 작가의 취향이 의심되는 웹툰|4작화:5점   스토리:4점   인물설정:2.5점작화 좋고 스토리는 아직 얼마 안나와서 확신하긴 좀 그렇지만 지금까지는(5화까지) 괜찮다고 봅니다. 문제는 황제랑 황태자 설정이 좀 깨요... 그닥 많이 신경 쓰는 타입은 아닌데 좀 독특하긴 하네요                                                                    2022.08.22 20:42                                    1 작화:5점   스토리:4점   인물설정:2.5점작화 좋고 스토리는 아직 얼마 안나와서 확신하긴 좀 그렇지만 지금까지는(5화까지) 괜찮다고 봅니다. 문제는 황제랑 황태자 설정이 좀 깨요... 그닥 많이 신경 쓰는 타입은 아닌데 좀 독특하긴 하네요|2방대한 마력에 성장이 멈춘 설정은 꽤나 흔함근데 한국에서는 적어도 최소한 작중 성인의 모습으로 표현 되고 일본에서나 로리나 쇼타로 표현 함왜냐, 걔네는 그걸 모에요소로 쓰는게 거리낌 없으니까 제발 일본 만화에 찌들어 사고방식이 일본인처럼 되지좀 말자고8살짜리 여자애가 엄마라는 설정을 내놓으면 사회적으로 욕 엄청 먹을텐데 지금 쇼타라서 이렇게 당당히 웹툰이 나오는거 아니냐저 어려보이는 외형으로 인한 스토리에 중요한 요소가 있지 않은 이상 작가의 취향을 덕지덕지 발라놓은 캐릭으로밖에 안보임솔직히 좀 역겨움                                                                    2022.08.26 17:26                                    1 방대한 마력에 성장이 멈춘 설정은 꽤나 흔함근데 한국에서는 적어도 최소한 작중 성인의 모습으로 표현 되고 일본에서나 로리나 쇼타로 표현 함왜냐, 걔네는 그걸 모에요소로 쓰는게 거리낌 없으니까제발 일본 만화에 찌들어 사고방식이 일본인처럼 되지좀 말자고8살짜리 여자애가 엄마라는 설정을 내놓으면 사회적으로 욕 엄청 먹을텐데 지금 쇼타라서 이렇게 당당히 웹툰이 나오는거 아니냐저 어려보이는 외형으로 인한 스토리에 중요한 요소가 있지 않은 이상 작가의 취향을 덕지덕지 발라놓은 캐릭으로밖에 안보임솔직히 좀 역겨움|2황제 그나이 쳐먹고 애새.끼 옷 입으면서 헤실거리는거 소름돋음 ㄷㄷ..난 모르겠다 걍 하차함                                                                    2022.08.28 17:54                                    2 황제 그나이 쳐먹고 애새.끼 옷 입으면서 헤실거리는거 소름돋음 ㄷㄷ..난 모르겠다 걍 하차함|1첨에 4점이길래 오늘 5화까직 봤더니 낚시네 시부레                                                                    2022.09.02 22:04                                    0 첨에 4점이길래 오늘 5화까직 봤더니 낚시네 시부레|1당신이 원하는게 제 하차인가요                                                                    2023.04.19 15:33                                    0 당신이 원하는게 제 하차인가요|1초딩 몸으로 야스해서 애 낳았냐-> 황후가 아프기 전엔 멀쩡한 성인 몸이었고 황후가 아프기 시작하면서 몸이 점점 어려짐 근데 반바지는 작가 취향 맞음 황태자가 여장 좋아하냐->꽃무늬, 분홍색, 베이킹, 자수를 좋아하지만 여장은 안함 근데 중2병이 뒤늦게 와서 개판남 고정관념 얘기 나오는데 이야기 돌아가는 꼬라지 보면 안 넣느니만 못하는 쓸모없는 사족이고, 등장인물은 우물쭈물이 패시브임 이것도 대화를 제대로 안해서 개판 나는 흔한 양산형                                                                    2024.02.02 15:08                                    0 초딩 몸으로 야스해서 애 낳았냐-> 황후가 아프기 전엔 멀쩡한 성인 몸이었고 황후가 아프기 시작하면서 몸이 점점 어려짐 근데 반바지는 작가 취향 맞음황태자가 여장 좋아하냐->꽃무늬, 분홍색, 베이킹, 자수를 좋아하지만 여장은 안함 근데 중2병이 뒤늦게 와서 개판남고정관념 얘기 나오는데 이야기 돌아가는 꼬라지 보면 안 넣느니만 못하는 쓸모없는 사족이고, 등장인물은 우물쭈물이 패시브임 이것도 대화를 제대로 안해서 개판 나는 흔한 양산형|1그냥 제목을 당신이 원하는게 제 로리 망꼬인가요 라고 써라 페도 웹툰                                                                    2024.03.01 02:14                                    1 그냥 제목을 당신이 원하는게 제 로리 망꼬인가요 라고 써라 페도 웹툰|1로리충ㅇㅇ                                                                    2024.03.22 15:31                                    0 로리충ㅇㅇ|2그림도 그지같고 내용도 머리를 통과하고애들 설정도 묘하게 어긋나있고난 두번째도 보는데도 11화이상 못가네                                                                    7일전                                    0 그림도 그지같고 내용도 머리를 통과하고애들 설정도 묘하게 어긋나있고난 두번째도 보는데도 11화이상 못가네|1본인이 유치원생의 두뇌를 가진 놈이면뇌빼고 볼만함 ㅇㅇ                                                                    2시간전                                    0 본인이 유치원생의 두뇌를 가진 놈이면뇌빼고 볼만함 ㅇㅇ","인간과 바다 종족 간의 휴전 조약의 증표로 인간 제국에 인질로 보내진 코델리아. 그러나 성년이 되던 날 인간 황제로부터 심장이 도려내져서 죽임을 당한다. 숨이 끊어지기 직전, 우연히 회귀하게 된 코델리아는 자신이 살해당한 이유에 엄청난 비밀이 있었다는 것을 알게 되고, 같은 결말을 피하고자 황제에게 거래를 제안해 황궁을 탈출하려 하는데...",src/img/당신이원하는게제심장인가요.png,,,"2024.04.11,2022.08.22"
계약 결혼일 뿐이었다,,"판타지,로맨스",월,62,"4.1,16","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.7,4.7,4.7,4.5,4.5,4.3,4.3,4.0,4.0,4.0,4.0,3.7,3.0,3.0,0.0,0.0",33,"|5미쳤다까진 아닌데 괜찮네요                                                                    2023.12.17 17:29                                    0 미쳤다까진 아닌데 괜찮네요|3그냥 그래.                                                                    2023.12.17 18:01                                    1 그냥 그래.|5아직 볼만혀                                                                    2023.12.17 18:14                                    2 아직 볼만혀|5얼굴맛집 ㅎ                                                                    2023.12.17 18:23                                    1 얼굴맛집 ㅎ|5볼만하다 ㄱㄱㄱ                                                                    2023.12.17 18:35                                    0 볼만하다 ㄱㄱㄱ|4뭔가 괜찮으면서 2퍼 부족한 느낌 뭐지                                                                    2023.12.17 18:44                                    0 뭔가 괜찮으면서 2퍼 부족한 느낌 뭐지|5무난하게 볼만함.                                                                    2023.12.17 19:57                                    0 무난하게 볼만함.|4정말 그냥 무난함 보면서도 딱히 별 생각이 없음 계약결혼이라는 게 으레 그렇듯 서로 서서히 감기기 시작하다가 둘 사이에 큰 일이 하나 터지고 거기서 구해주며 결국엔 사랑하는 사이가 되는 이미 대략적인 줄거리는 다 본 것 같은 느낌이 들긴 하는데 그래도 이 정도면 볼만할 듯                                                                    2023.12.17 22:08                                    3 정말 그냥 무난함 보면서도 딱히 별 생각이 없음계약결혼이라는 게 으레 그렇듯 서로 서서히 감기기 시작하다가 둘 사이에 큰 일이 하나 터지고 거기서 구해주며 결국엔 사랑하는 사이가 되는이미 대략적인 줄거리는 다 본 것 같은 느낌이 들긴 하는데그래도 이 정도면 볼만할 듯|5이거 재밋음 ㅋㅋ믿고보는 달슬작가륌+그림체 상타치                                                                    2023.12.18 00:55                                    1 이거 재밋음 ㅋㅋ믿고보는 달슬작가륌+그림체 상타치|4클리셰 덩어린데 재미지다 나름ㅋㅋ 클리셰도 어떻게 비비느냐에 따라 다름!                                                                    2023.12.21 23:37                                    1 클리셰 덩어린데 재미지다 나름ㅋㅋ 클리셰도 어떻게 비비느냐에 따라 다름!|5국밥. 이런작품이 많아져야됨... 맛있음. 클래식은 클래식                                                                    2023.12.22 16:12                                    0 국밥. 이런작품이 많아져야됨... 맛있음. 클래식은 클래식|1댓글들 반응은 좋은데, 나는 프롤로그에서 하차...로판 많이 봤는데 안좋아하는 부분이 뭉터기로 나와서 견딜수가없는                                                                    2024.01.12 09:15                                    0 댓글들 반응은 좋은데, 나는 프롤로그에서 하차...로판 많이 봤는데 안좋아하는 부분이 뭉터기로 나와서 견딜수가없는|1어여 내려가세요                                                                    2024.01.12 18:21                                    0 어여 내려가세요|4맛있는데..? 일단 그림이 취향..                                                                    2024.01.12 19:45                                    1 맛있는데..? 일단 그림이 취향..|4내용은 아직 초반부라서 판단하기 힘들다. 작화는 정말 좋음. 로맨스씬 은근 좀 있을거 같다. 남주를 진짜 잘 그림. 요즘 웹툰 중에서는 ㄱㅊ 은듯?                                                                    2024.02.04 13:15                                    0 내용은 아직 초반부라서 판단하기 힘들다. 작화는 정말 좋음. 로맨스씬 은근 좀 있을거 같다. 남주를 진짜 잘 그림. 요즘 웹툰 중에서는 ㄱㅊ 은듯?|5잼있어요일단 전 존버여주 임튀할테 다시올게요                                                                    7일전                                    0 잼있어요일단 전 존버여주 임튀할테 다시올게요","적국에 끌려온 패망국의 황녀, 추락하는 모습마저 아름다운 아르간의 보물. 그러나 머지않아 목이 매달려 야만인들에게 진상될 포로. 엘리제는 그 운명을 피해 어떻게든 살아남아야만 한다. 동생의 유언을 지키기 위해, 그리고 아르간의 재건을 위해. 선택지는 단 하나. 반옐라의 번견, 적국의 총사령관. 비천하고 광증을 가진 용인, 레제트 키르스탄. 엘리제는 눈앞의 이 차갑고 완고한 사내를 이용하기로 한다. 설령, 그 방법이 얼토당토않은 거짓말이라 할지라도. ""내가, 당신의 아이를 낳아줄게요.""",src/img/계약결혼일뿐이었다.png,,,"2024.04.11,2023.12.17"
