이름,추천수,별점수,총화수,요일,1화링크,상세페이지 URL,장르모음,웹툰보는곳
세번째 로망스,0,4.0,5,월요일,https://newtoki307.com/webtoon/22332975?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/22332813/%EC%84%B8%EB%B2%88%EC%A7%B8-%EB%A1%9C%EB%A7%9D%EC%8A%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
나는 이 집 아이,343,2.5,156,월요일,https://newtoki307.com/webtoon/116556?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/116024/%EB%82%98%EB%8A%94-%EC%9D%B4-%EC%A7%91-%EC%95%84%EC%9D%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
모노마니아,0,1.0,7,월요일,https://newtoki307.com/webtoon/21905148?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21905073/%EB%AA%A8%EB%85%B8%EB%A7%88%EB%8B%88%EC%95%84?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
멸망할 도시의 회귀자,12,2.5,29,월요일,https://newtoki307.com/webtoon/21763827?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21762693/%EB%A9%B8%EB%A7%9D%ED%95%A0-%EB%8F%84%EC%8B%9C%EC%9D%98-%ED%9A%8C%EA%B7%80%EC%9E%90?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,개그,중국",
이계막차,17,4.0,14,월요일,https://newtoki307.com/webtoon/20772288?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20772036/%EC%9D%B4%EA%B3%84%EB%A7%89%EC%B0%A8?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,드라마",
찌질하지만 로맨스는 하고 싶어,2,3.0,26,월요일,https://newtoki307.com/webtoon/22110819?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/22110582/%EC%B0%8C%EC%A7%88%ED%95%98%EC%A7%80%EB%A7%8C-%EB%A1%9C%EB%A7%A8%EC%8A%A4%EB%8A%94-%ED%95%98%EA%B3%A0-%EC%8B%B6%EC%96%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
"내 여자, 꼬봉이",5,1.5,94,월요일,https://newtoki307.com/webtoon/20830737?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20773401/%EB%82%B4-%EC%97%AC%EC%9E%90-%EA%BC%AC%EB%B4%89%EC%9D%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
두근두근 공략기,162,4.5,75,월요일,https://newtoki307.com/webtoon/13912184?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/13911530/%EB%91%90%EA%B7%BC%EB%91%90%EA%B7%BC-%EA%B3%B5%EB%9E%B5%EA%B8%B0?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
"어서 와, 이런 악녀 처음이지",16,1.5,45,월요일,https://newtoki307.com/webtoon/12455601?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/12455574/%EC%96%B4%EC%84%9C-%EC%99%80-%EC%9D%B4%EB%9F%B0-%EC%95%85%EB%85%80-%EC%B2%98%EC%9D%8C%EC%9D%B4%EC%A7%80?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
라나도의 심장,4,3.5,70,월요일,https://newtoki307.com/webtoon/14467228?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14466256/%EB%9D%BC%EB%82%98%EB%8F%84%EC%9D%98-%EC%8B%AC%EC%9E%A5?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,미스터리,드라마,한국",
거만한 도련님과 계약 결혼,3,1.5,18,월요일,https://newtoki307.com/webtoon/20828952?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20828874/%EA%B1%B0%EB%A7%8C%ED%95%9C-%EB%8F%84%EB%A0%A8%EB%8B%98%EA%B3%BC-%EA%B3%84%EC%95%BD-%EA%B2%B0%ED%98%BC?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"개그,로맨스,드라마",
키워서 잡아먹혔다,72,2.5,70,월요일,https://newtoki307.com/webtoon/15490696?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/15489877/%ED%82%A4%EC%9B%8C%EC%84%9C-%EC%9E%A1%EC%95%84%EB%A8%B9%ED%98%94%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
대상무형: 운명을 삼킨 퇴마사,3,3.0,28,월요일,https://newtoki307.com/webtoon/21097455?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21097257/%EB%8C%80%EC%83%81%EB%AC%B4%ED%98%95-%EC%9A%B4%EB%AA%85%EC%9D%84-%EC%82%BC%ED%82%A8-%ED%87%B4%EB%A7%88%EC%82%AC?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국",
쇼미더럭키짱!,12,3.5,146,월요일,https://newtoki307.com/webtoon/19730235?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/19730052/%EC%87%BC%EB%AF%B8%EB%8D%94%EB%9F%AD%ED%82%A4%EC%A7%B1?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,개그",
미즈 마블,0,4.0,13,월요일,https://newtoki307.com/webtoon/21906951?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21906417/%EB%AF%B8%EC%A6%88-%EB%A7%88%EB%B8%94?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,판타지,
도령의 가족,11,4.5,124,월요일,https://newtoki307.com/webtoon/21363576?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21362772/%EB%8F%84%EB%A0%B9%EC%9D%98-%EA%B0%80%EC%A1%B1?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
"솔미솔파, 나의 노래",8,0.0,118,월요일,https://newtoki307.com/webtoon/188303?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/188300/%EC%86%94%EB%AF%B8%EC%86%94%ED%8C%8C-%EB%82%98%EC%9D%98-%EB%85%B8%EB%9E%98?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마,한국",
뒤끝작렬,104,4.5,148,월요일,https://newtoki307.com/webtoon/11348422?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11345092/%EB%92%A4%EB%81%9D%EC%9E%91%EB%A0%AC?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"드라마,한국",
궁귀검신(kakaopage),146,3.5,147,월요일,https://newtoki307.com/webtoon/6921223?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/6921214/%EA%B6%81%EA%B7%80%EA%B2%80%EC%8B%A0-kakaopage?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,무협,한국",
양극의 소년,32,2.5,185,월요일,https://newtoki307.com/webtoon/227875?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/227741/%EC%96%91%EA%B7%B9%EC%9D%98-%EC%86%8C%EB%85%84?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,학원,한국",
한기담 : 천월의 별,9,3.5,169,월요일,https://newtoki307.com/webtoon/14240209?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14239681/%ED%95%9C%EA%B8%B0%EB%8B%B4-%EC%B2%9C%EC%9B%94%EC%9D%98-%EB%B3%84?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,한국",
그녀의 조각,0,1.0,20,월요일,https://newtoki307.com/webtoon/21453504?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21441474/%EA%B7%B8%EB%85%80%EC%9D%98-%EC%A1%B0%EA%B0%81?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마,중국",
백작가 영애가 황제의 번견을 길들이는 방법,8,1.5,15,월요일,https://newtoki307.com/webtoon/20788032?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20779818/%EB%B0%B1%EC%9E%91%EA%B0%80-%EC%98%81%EC%95%A0%EA%B0%80-%ED%99%A9%EC%A0%9C%EC%9D%98-%EB%B2%88%EA%B2%AC%EC%9D%84-%EA%B8%B8%EB%93%A4%EC%9D%B4%EB%8A%94-%EB%B0%A9%EB%B2%95?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스",
연애 ㄴㄴ,0,0.0,4,월요일,https://newtoki307.com/webtoon/21203706?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21203292/%EC%97%B0%EC%95%A0?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마",
레이디 생존의 법칙,124,3.5,74,월요일,https://newtoki307.com/webtoon/3579965?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/3579952/%EB%A0%88%EC%9D%B4%EB%94%94-%EC%83%9D%EC%A1%B4%EC%9D%98-%EB%B2%95%EC%B9%99?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
유리의 성,31,3.5,110,월요일,https://newtoki307.com/webtoon/484771?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/484760/%EC%9C%A0%EB%A6%AC%EC%9D%98-%EC%84%B1?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
썸머코드,5,1.5,50,월요일,https://newtoki307.com/webtoon/20541039?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20535216/%EC%8D%B8%EB%A8%B8%EC%BD%94%EB%93%9C?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스",
내가 죽이기로 했다,7,2.5,50,월요일,https://newtoki307.com/webtoon/14813152?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14800708/%EB%82%B4%EA%B0%80-%EC%A3%BD%EC%9D%B4%EA%B8%B0%EB%A1%9C-%ED%96%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"미스터리,드라마,한국",
황성 패왕무적 컬렉션,3,4.5,40,월요일,https://newtoki307.com/webtoon/15994077?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/15993714/%ED%99%A9%EC%84%B1-%ED%8C%A8%EC%99%95%EB%AC%B4%EC%A0%81-%EC%BB%AC%EB%A0%89%EC%85%98?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"무협,한국",
딸이 쓴 로판에 빙의되어버렸다,11,1.5,12,월요일,https://newtoki307.com/webtoon/19589805?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/19589763/%EB%94%B8%EC%9D%B4-%EC%93%B4-%EB%A1%9C%ED%8C%90%EC%97%90-%EB%B9%99%EC%9D%98%EB%90%98%EC%96%B4%EB%B2%84%EB%A0%B8%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스",
이건 명백한 사기결혼이다,261,3.5,107,월요일,https://newtoki307.com/webtoon/411451?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/411395/%EC%9D%B4%EA%B1%B4-%EB%AA%85%EB%B0%B1%ED%95%9C-%EC%82%AC%EA%B8%B0%EA%B2%B0%ED%98%BC%EC%9D%B4%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,드라마,한국",
노 모어 프린스,126,4.5,10,월요일,https://newtoki307.com/webtoon/19869372?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/19869303/%EB%85%B8-%EB%AA%A8%EC%96%B4-%ED%94%84%EB%A6%B0%EC%8A%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스",
절대쌍효,6,4.0,37,월요일,https://newtoki307.com/webtoon/16493520?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/16492908/%EC%A0%88%EB%8C%80%EC%8C%8D%ED%9A%A8?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,무협",
붉은 여우(완전판),33,4.0,5,월요일,https://newtoki307.com/webtoon/14879134?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14731492/%EB%B6%89%EC%9D%80-%EC%97%AC%EC%9A%B0-%EC%99%84%EC%A0%84%ED%8C%90?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,드라마,한국",
와이키키 뱀파이어,10,4.5,91,월요일,https://newtoki307.com/webtoon/19106571?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/19106496/%EC%99%80%EC%9D%B4%ED%82%A4%ED%82%A4-%EB%B1%80%ED%8C%8C%EC%9D%B4%EC%96%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,드라마,
랩 마이스 게임,18,3.5,54,월요일,https://newtoki307.com/webtoon/13133122?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/13132849/%EB%9E%A9-%EB%A7%88%EC%9D%B4%EC%8A%A4-%EA%B2%8C%EC%9E%84?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국",
팔이피플,4,2.5,34,월요일,https://newtoki307.com/webtoon/15843561?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/15841857/%ED%8C%94%EC%9D%B4%ED%94%BC%ED%94%8C?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"드라마,한국",
티아라,25,4.0,198,월요일,https://newtoki307.com/webtoon/300463?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/300446/%ED%8B%B0%EC%95%84%EB%9D%BC?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
멸망한 세계를 되살리는 방법,5,3.5,10,월요일,https://newtoki307.com/webtoon/19744068?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/19743951/%EB%A9%B8%EB%A7%9D%ED%95%9C-%EC%84%B8%EA%B3%84%EB%A5%BC-%EB%90%98%EC%82%B4%EB%A6%AC%EB%8A%94-%EB%B0%A9%EB%B2%95?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션",
검도능천,11,3.5,55,월요일,https://newtoki307.com/webtoon/17387427?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/17384853/%EA%B2%80%EB%8F%84%EB%8A%A5%EC%B2%9C?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션",
디센트,6,3.5,33,월요일,https://newtoki307.com/webtoon/290528?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/290527/%EB%94%94%EC%84%BC%ED%8A%B8?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"학원,한국",
대귀갑사,37,3.5,141,월요일,https://newtoki307.com/webtoon/245697?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/245695/%EB%8C%80%EA%B7%80%EA%B0%91%EC%82%AC?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국",
마계탈출록,10,3.5,98,월요일,https://newtoki307.com/webtoon/11190?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/351/%EB%A7%88%EA%B3%84%ED%83%88%EC%B6%9C%EB%A1%9D?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국",
강철메카신부,12,4.5,12,월요일,https://newtoki307.com/webtoon/18048552?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/18048516/%EA%B0%95%EC%B2%A0%EB%A9%94%EC%B9%B4%EC%8B%A0%EB%B6%80?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,개그",
소년의 신성,24,2.5,175,월요일,https://newtoki307.com/webtoon/4530?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/215/%EC%86%8C%EB%85%84%EC%9D%98-%EC%8B%A0%EC%84%B1?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,학원,한국",
우사미 군의 비밀!,8,3.5,151,월요일,https://newtoki307.com/webtoon/12062851?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11215339/%EC%9A%B0%EC%82%AC%EB%AF%B8-%EA%B5%B0%EC%9D%98-%EB%B9%84%EB%B0%80?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마,한국",
폭군이 내 새끼가 되었습니다,9,2.5,220,월요일,https://newtoki307.com/webtoon/11914184?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11542114/%ED%8F%AD%EA%B5%B0%EC%9D%B4-%EB%82%B4-%EC%83%88%EB%81%BC%EA%B0%80-%EB%90%98%EC%97%88%EC%8A%B5%EB%8B%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,중국",
"용, 감한 연애",9,3.0,48,월요일,https://newtoki307.com/webtoon/14239810?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14239699/%EC%9A%A9-%EA%B0%90%ED%95%9C-%EC%97%B0%EC%95%A0?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국",
야설록 살수대협 컬렉션,4,3.5,50,월요일,https://newtoki307.com/webtoon/15298384?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/15297928/%EC%95%BC%EC%84%A4%EB%A1%9D-%EC%82%B4%EC%88%98%EB%8C%80%ED%98%91-%EC%BB%AC%EB%A0%89%EC%85%98?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"무협,한국",
원수의 가면을 벗기면,1,2.5,130,월요일,https://newtoki307.com/webtoon/12570903?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/12059870/%EC%9B%90%EC%88%98%EC%9D%98-%EA%B0%80%EB%A9%B4%EC%9D%84-%EB%B2%97%EA%B8%B0%EB%A9%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마,무협,중국",
괴,77,4.5,336,월요일,https://newtoki307.com/webtoon/11761367?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11759089/%EA%B4%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"무협,한국",
환생하여 의사로 살아남기,16,1.5,179,월요일,https://newtoki307.com/webtoon/11898956?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11897255/%ED%99%98%EC%83%9D%ED%95%98%EC%97%AC-%EC%9D%98%EC%82%AC%EB%A1%9C-%EC%82%B4%EC%95%84%EB%82%A8%EA%B8%B0?sst=as_update&sod=desc&yoil=%EC%9B%94&page=4&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,드라마,중국",
