이름,추천수,별점수,총화수,요일,1화링크,상세페이지 URL,장르모음,웹툰보는곳
황녀님이 사악하셔,153,2.5,98,월요일,https://newtoki307.com/webtoon/13989092?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/13988988/%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%B4-%EC%82%AC%EC%95%85%ED%95%98%EC%85%94?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국","카카오페이지,네이버웹툰"
이차원 용병,247,3.5,255,월요일,https://newtoki307.com/webtoon/3125?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/176/%EC%9D%B4%EC%B0%A8%EC%9B%90-%EC%9A%A9%EB%B3%91?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,한국","카카오페이지,나무위키,WEBTOONGUIDE"
부모님을 죽인 원수와 결혼했습니다,14,3.0,17,월요일,https://newtoki307.com/webtoon/29372950?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/29250328/%EB%B6%80%EB%AA%A8%EB%8B%98%EC%9D%84-%EC%A3%BD%EC%9D%B8-%EC%9B%90%EC%88%98%EC%99%80-%EA%B2%B0%ED%98%BC%ED%96%88%EC%8A%B5%EB%8B%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,드라마,"카카오페이지,WEBTOONGUIDE"
목표는 금수저로 무병장수하기입니다,134,2.5,136,월요일,https://newtoki307.com/webtoon/8422271?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/8422042/%EB%AA%A9%ED%91%9C%EB%8A%94-%EA%B8%88%EC%88%98%EC%A0%80%EB%A1%9C-%EB%AC%B4%EB%B3%91%EC%9E%A5%EC%88%98%ED%95%98%EA%B8%B0%EC%9E%85%EB%8B%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국","카카오페이지,네이버웹툰"
타이밍,9,5.0,33,월요일,https://newtoki307.com/webtoon/31483305?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/31481577/%ED%83%80%EC%9D%B4%EB%B0%8D?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,액션,"카카오페이지,나무위키"
독보소요,37,3.5,324,월요일,https://newtoki307.com/webtoon/11357183?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11355191/%EB%8F%85%EB%B3%B4%EC%86%8C%EC%9A%94?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"무협,중국","카카오페이지,네이버웹툰,레진코믹스"
아! 형산파,37,3.5,223,월요일,https://newtoki307.com/webtoon/26056055?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/26028719/%EC%95%84-%ED%98%95%EC%82%B0%ED%8C%8C?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,무협,"카카오페이지,네이버웹툰,미스터블루"
ㅋㅋ단편.zip,2,4.0,7,월요일,https://newtoki307.com/webtoon/31006541?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/31006053/%EB%8B%A8%ED%8E%B8-zip?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,개그,"webtooninsight.co.kr,네이버웹툰,WEBTOONGUIDE"
닥터 플레이어,136,2.5,61,월요일,https://newtoki307.com/webtoon/25172933?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/25172732/%EB%8B%A5%ED%84%B0-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션","카카오페이지,나무위키"
꽃을 피우는 아기 가주님,43,4.5,23,월요일,https://newtoki307.com/webtoon/30948857?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/30946909/%EA%BD%83%EC%9D%84-%ED%94%BC%EC%9A%B0%EB%8A%94-%EC%95%84%EA%B8%B0-%EA%B0%80%EC%A3%BC%EB%8B%98?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","카카오페이지,네이버웹툰"
그땐 득템인 줄 몰랐다,16,1.5,25,월요일,https://newtoki307.com/webtoon/30930945?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/30918289/%EA%B7%B8%EB%95%90-%EB%93%9D%ED%85%9C%EC%9D%B8-%EC%A4%84-%EB%AA%B0%EB%9E%90%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션","카카오페이지,무툰"
그 공작가에는 괴물이 살고 있다,10,1.5,37,월요일,https://newtoki307.com/webtoon/27073856?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/27073181/%EA%B7%B8-%EA%B3%B5%EC%9E%91%EA%B0%80%EC%97%90%EB%8A%94-%EA%B4%B4%EB%AC%BC%EC%9D%B4-%EC%82%B4%EA%B3%A0-%EC%9E%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","카카오페이지,리디,미스터블루"
호랑낭자뎐,4,3.0,44,월요일,https://newtoki307.com/webtoon/27474468?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/27474357/%ED%98%B8%EB%9E%91%EB%82%AD%EC%9E%90%EB%8E%90?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,드라마,"카카오페이지,웹툰인사이트"
폭군의 보호자는 악역 마녀입니다,213,4.5,110,월요일,https://newtoki307.com/webtoon/9768286?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/9768149/%ED%8F%AD%EA%B5%B0%EC%9D%98-%EB%B3%B4%ED%98%B8%EC%9E%90%EB%8A%94-%EC%95%85%EC%97%AD-%EB%A7%88%EB%85%80%EC%9E%85%EB%8B%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국","카카오페이지,네이버웹툰"
황제와 함께 타락하겠습니다,93,3.5,69,월요일,https://newtoki307.com/webtoon/24208700?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/24208430/%ED%99%A9%EC%A0%9C%EC%99%80-%ED%95%A8%EA%BB%98-%ED%83%80%EB%9D%BD%ED%95%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","카카오페이지,WEBTOONGUIDE,toonkor296.com"
마황귀환록,58,3.5,226,월요일,https://newtoki307.com/webtoon/11354378?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/11350990/%EB%A7%88%ED%99%A9%EA%B7%80%ED%99%98%EB%A1%9D?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국","카카오페이지,네이버웹툰"
절대검감,172,4.5,49,월요일,https://newtoki307.com/webtoon/22191387?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/22190922/%EC%A0%88%EB%8C%80%EA%B2%80%EA%B0%90?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,무협","네이버웹툰,나무위키,WEBTOONGUIDE"
사상 최강 남주,25,2.5,201,월요일,https://newtoki307.com/webtoon/20165442?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20165337/%EC%82%AC%EC%83%81-%EC%B5%9C%EA%B0%95-%EB%82%A8%EC%A3%BC?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국","카카오페이지,레진코믹스,네이버웹툰"
초월진화,41,2.5,112,월요일,https://newtoki307.com/webtoon/23219466?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/23218917/%EC%B4%88%EC%9B%94%EC%A7%84%ED%99%94?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국","카카오페이지,투믹스"
조동길,5,1.5,54,월요일,https://newtoki307.com/webtoon/26099237?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/26098091/%EC%A1%B0%EB%8F%99%EA%B8%B8?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,무협","카카오페이지,WEBTOONGUIDE"
기적의 물리치료사,41,3.5,28,월요일,https://newtoki307.com/webtoon/29750137?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/29741692/%EA%B8%B0%EC%A0%81%EC%9D%98-%EB%AC%BC%EB%A6%AC%EC%B9%98%EB%A3%8C%EC%82%AC?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,드라마,"카카오페이지,네이버웹툰"
12구역,20,3.5,17,월요일,https://newtoki307.com/webtoon/29958467?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/29522077/12%EA%B5%AC%EC%97%AD?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,액션,"카카오페이지,WEBTOONGUIDE"
