이름,작가/그림,장르,요일,추천수,별점(총),별점(화),총화수,댓글,줄거리,이미지,플랫폼,링크,업데이트
학생만 하면 안 될까요?,,"판타지,액션",목,26,"2.8,19","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,3.7,3.3,3.0,0.0,0.0,0.0,0.0",32,1벽이 갈라지고 손상됬는데 '짐승이 다녀간것 처럼' ㅇㅈㄹㅋㅋ 딱봐도 개연성날로먹고 작가 지맘대로 진행할 웹툰                            8||5그림체는 그럭저럭 스토리는 나중에 고구마만 없으면  계속 봐도 좋을듯                                                                    2023.10.11 23:03                                    0 그림체는 그럭저럭 스토리는 나중에 고구마만 없으면  계속 봐도 좋을듯|5재미있네.                                                                    2023.10.11 23:09                                    2 재미있네.|1벽이 갈라지고 손상됬는데 '짐승이 다녀간것 처럼' ㅇㅈㄹㅋㅋ 딱봐도 개연성날로먹고 작가 지맘대로 진행할 웹툰                                                                    2023.10.12 06:58                                    8 벽이 갈라지고 손상됬는데 '짐승이 다녀간것 처럼' ㅇㅈㄹㅋㅋ 딱봐도 개연성날로먹고 작가 지맘대로 진행할 웹툰|4취향만 맞으면 ㄱㅊ게 볼듯                                                                    2023.10.12 08:22                                    0 취향만 맞으면 ㄱㅊ게 볼듯|5그림체도 좋고 소재도 나름 재밌고 괜찮은듯!                                                                    2023.10.12 15:12                                    1 그림체도 좋고 소재도 나름 재밌고 괜찮은듯!|3취향좀 탈듯                                                                    2023.10.12 15:21                                    1 취향좀 탈듯|1항마력 키우면 안될까요?                                                                    2023.10.14 16:09                                    2 항마력 키우면 안될까요?|1보기힘듦...                                                                    2023.10.14 16:26                                    2 보기힘듦...|2내 취향도 아니고 퇴마사물 별로                                                                    2023.10.14 16:50                                    2 내 취향도 아니고 퇴마사물 별로|1또 퇴마야?                                                                    2023.10.14 18:34                                    1 또 퇴마야?|5퇴마물 별로 안좋아하는데 개맛있는데?                                                                    2023.10.17 19:50                                    1 퇴마물 별로 안좋아하는데 개맛있는데?|3내 항마력이 못 버틴다...                                                                    2023.11.02 17:25                                    0 내 항마력이 못 버틴다...|4퇴마물은 대환영이야                                                                    2023.11.16 04:02                                    0 퇴마물은 대환영이야|3어떻냐? 재밌냐?                                                                    2023.11.16 18:06                                    0 어떻냐? 재밌냐?|1재미없네.                                                                    2023.11.23 06:09                                    1 재미없네.|410화 넘어가먄 볼만함?아직 제대로된 액션신이 없어서 두고 봐야할듯                                                                    2023.12.15 03:44                                    0 10화 넘어가먄 볼만함?아직 제대로된 액션신이 없어서 두고 봐야할듯|3미묘함. 소재는 좋은데..                                                                    2023.12.29 17:52                                    1 미묘함. 소재는 좋은데..|2그림체 좋은데 뭔가 애매한데 예전에 어디서 본 느낌? 한 10년전쯔음 일본애니 같은?  호불호 심하게 갈릴듯 불호                                                                    2024.01.09 21:52                                    1 그림체 좋은데 뭔가 애매한데 예전에 어디서 본 느낌? 한 10년전쯔음 일본애니 같은? 호불호 심하게 갈릴듯 불호|1소재는 좋긴한데 ㅈㄴ 발암 자색고우마ㄴ 나오고 노잼                                                                    2024.03.08 21:55                                    0 소재는 좋긴한데 ㅈㄴ 발암 자색고우마ㄴ 나오고 노잼,"평범한 학생으로 살고 싶은 소년 고풍림. 그는 감정을 먹고 태어나는 '업귀'를 퇴마하며 누구보다도 피곤한 삶을 살고 있는데.... 아니, 됐다고요! 저는 그냥, 제발, 평범하게... 학생만 하면 안 될까요?",src/img/학생만하면안될까요.png,,,"2024.04.13,2023.10.11"
헌터 아카데미의 최강투신,,"판타지,액션",목,34,"3.0,45","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.3,3.7,3.7,3.0,3.0,2.3,0.0,0.0,0.0,0.0",20,"|1이게 짱깨산이 아니라니                                                                    2일전                                    0 이게 짱깨산이 아니라니|1퉤!!!!                                                                    2일전                                    1 퉤!!!!|41화만 봤는데 모든걸 다 합쳐놓았다..!                                                                    2일전                                    0 1화만 봤는데 모든걸 다 합쳐놓았다..!|1주인공 여자처럼그려놓고 남자라고우겨대서 1화만에 하차함 ㅅㄱ                                                                    2일전                                    2 주인공 여자처럼그려놓고 남자라고우겨대서 1화만에 하차함 ㅅㄱ|5재밌는데짱툰에 비하면 선녀지뭐대충 양판소에 3.5점 정도 스킵 많음주인공 남자지만 여자처럼 생김그림체가 약간 힐통령이랑 비슷 + 여캐들 마음이 넓음                                                                     2일전                                    0 재밌는데짱툰에 비하면 선녀지뭐대충 양판소에 3.5점 정도 스킵 많음주인공 남자지만 여자처럼 생김그림체가 약간 힐통령이랑 비슷 + 여캐들 마음이 넓음|3크아아악 인채가 전투신이....!                                                                    2일전                                    0 크아아악 인채가 전투신이....!|1씹덕 그림체 + 라노벨 전개 -> 씹덕 학원물 원작 소설도 양산형에 유치하고 뻔한 스토리라 일러스트 원툴이었는데 웹툰화 하면 오히려 경쟁 가치가 없다고 생각하는데 이걸 굳이 왜 했을까                                                                    2일전                                    0 씹덕 그림체 + 라노벨 전개 -> 씹덕 학원물원작 소설도 양산형에 유치하고 뻔한 스토리라 일러스트 원툴이었는데 웹툰화 하면 오히려 경쟁 가치가 없다고 생각하는데 이걸 굳이 왜 했을까|4왜케 별점이 박하지? 그림체나 스토리 나쁘지 않은데?                                                                    2일전                                    0 왜케 별점이 박하지? 그림체나 스토리 나쁘지 않은데?|5아니 얘들아.. 이름이 유성인데 여자겠냐                                                                    2일전                                    0 아니 얘들아.. 이름이 유성인데 여자겠냐|3무..무협..짬뽕물.? 주인공 남잔데 여자얼굴로 그렸어..글고 신체 단련 했는데 뭔 뼈밖에없냐                                                                    2일전                                    0 무..무협..짬뽕물.?주인공 남잔데 여자얼굴로 그렸어..글고 신체 단련 했는데 뭔 뼈밖에없냐|1평점이 왤캐 좋지? 짱툰만 못한거 같은데                                                                    2일전                                    0 평점이 왤캐 좋지? 짱툰만 못한거 같은데|3짠맛과 단맛 그 사이에 있는 짜장맛!!!!                                                                    2일전                                    0 짠맛과 단맛 그 사이에 있는 짜장맛!!!!|5이게 그림체가 안좋다고? ㅋㅋㅋ 첨에 용대가리보고 오 했는데                                                                    2일전                                    0 이게 그림체가 안좋다고? ㅋㅋㅋ 첨에 용대가리보고 오 했는데|3아카데미물? 일단 3점 주고 달려본다                                                                    2일전                                    0 아카데미물? 일단 3점 주고 달려본다|5그림체 너무 맘에듬 합격!                                                                    2일전                                    0 그림체 너무 맘에듬 합격!|5보다보면 익숙해짐                                                                    2일전                                    0 보다보면 익숙해짐|1아 골렘이랑 동굴에서 싸울때 도대체 뭔그림인지.. 뒤죽박죽 올린게 문제가 아니라 작화 자체가 좀...                                                                    2일전                                    0 아 골렘이랑 동굴에서 싸울때 도대체 뭔그림인지.. 뒤죽박죽 올린게 문제가 아니라 작화 자체가 좀...|4재밌고 볼만함. 헌터 + 아카데미물 단순 체술형 먼치킨 주인공.신기한게 케릭터보다 배경,건물이 고트임.대체 ....왜?                                                                    2일전                                    0 재밌고 볼만함. 헌터 + 아카데미물 단순 체술형 먼치킨 주인공.신기한게 케릭터보다 배경,건물이 고트임.대체 ....왜?|1그림체 노답이네                                                                    1일전                                    0 그림체 노답이네|3짱깨툰이랑 ㅈ세계물이랑 한국웹툰의 콜라보 느낌 ㅋㅋㅋㅋㅋㅋㅋ                                                                    1일전                                    0 짱깨툰이랑 ㅈ세계물이랑 한국웹툰의 콜라보 느낌 ㅋㅋㅋㅋㅋㅋㅋ|5기대안하고 봤더니 그냥 뭐 그럭저럭 볼만함                                                                    1일전                                    0 기대안하고 봤더니 그냥 뭐 그럭저럭 볼만함|4생각보단 볼만함 대신 그림체가 낯설어서 좀 그럼                                                                    1일전                                    0 생각보단 볼만함 대신 그림체가 낯설어서 좀 그럼|5걍 뇌빼고 보는걸 추천합니다                                          1일전                                    0 걍 뇌빼고 보는걸 추천합니다 {이모티콘:onion-070.gif:50}|4주인공 낭자애인거만 빼면 무난히 맛있는데?                                                                    1일전                                    0 주인공 낭자애인거만 빼면 무난히 맛있는데?|3시작하자마자 보추 둘이 붙어다니는거 꼴보기 싫다                                                                    1일전                                    0 시작하자마자 보추 둘이 붙어다니는거 꼴보기 싫다|1솔직히 3류나 4류 웹툰인거 같음. 웹툰에 나돌아당기는 나혼자~~ 시리즈나 회귀 시리즈보다 훨씬 별로임... 빌드업이 너무 부실함                                                                    1일전                                    1 솔직히 3류나 4류 웹툰인거 같음. 웹툰에 나돌아당기는 나혼자~~ 시리즈나 회귀 시리즈보다 훨씬 별로임... 빌드업이 너무 부실함|3주인공 여자 그려놓고 남자라고 우김 보추물임 걍그림체.. 그림 잘그리는데 너무 씹덕 모에모에 큥 그림체라서..아 그리고 여자 가슴이 ㅈㄴ큼 ㅋㅋ                                                                    1일전                                    2 주인공 여자 그려놓고 남자라고 우김 보추물임 걍그림체.. 그림 잘그리는데 너무 씹덕 모에모에 큥 그림체라서..아 그리고 여자 가슴이 ㅈㄴ큼 ㅋㅋ|5거의 모든 그림이 일러인 수준임 그림작가가 신인듯                                                                    1일전                                    3 거의 모든 그림이 일러인 수준임 그림작가가 신인듯|50000000000000000000000000000000000000 볼만함                                                                    1일전                                    0 0000000000000000000000000000000000000 볼만함|5그림체 매우좋음 연출도 좋음스토리는 무난무난한듯 그리고 내가 게이는 아닌데 주인공이랑 몇몇 남캐들이 꼴림                                                                    1일전                                    1 그림체 매우좋음 연출도 좋음스토리는 무난무난한듯 그리고 내가 게이는 아닌데 주인공이랑 몇몇 남캐들이 꼴림|5작품 자체가 유치할 뿐이지...  그냥 그것도 하나의 장르라고 생각하면 아주 고퀄임...  유치한 씹덕물 좋아하면 잘 맞을 듯...                                                                    1일전                                    0 작품 자체가 유치할 뿐이지... 그냥 그것도 하나의 장르라고 생각하면 아주 고퀄임... 유치한 씹덕물 좋아하면 잘 맞을 듯...|2보추 둘째쳐도 그림체가 별로임.                                                                    1일전                                    0 보추 둘째쳐도 그림체가 별로임.|3ai 그림체 이질적이고내용도 유치함                                                                    1일전                                    1 ai 그림체 이질적이고내용도 유치함|4그냥 흔한 스시 웹툰인데 그림체 상당하고 가슴 큼추천                                                                    20시간전                                    1 그냥 흔한 스시 웹툰인데 그림체 상당하고 가슴 큼추천|4일본 느낌의 먼치킨물그림체는 좋음                                                                    19시간전                                    0 일본 느낌의 먼치킨물그림체는 좋음|11화에서 도저히 못버티겠다.                                                                    19시간전                                    0 1화에서 도저히 못버티겠다.|5아직까진 모르겠음.캐릭터 디자인은 엄청 흔한 디자인임. 어디 웹툰이나 모바일 게임에서 본거 같은?  스토리도 흔한 아카데미물그림체는 괜찮은데, ai 그림체 느낌이 있음.(베이비 페이스 + 글래머) 특히 사람 그림체는 좀 귀여운 느낌인데 몬스터는 진지해서 좀 이상한 느낌?그냥 나름 잘 찍어낸 공장형 웹툰 느낌?                                                                    18시간전                                    0 아직까진 모르겠음.캐릭터 디자인은 엄청 흔한 디자인임. 어디 웹툰이나 모바일 게임에서 본거 같은?  스토리도 흔한 아카데미물그림체는 괜찮은데, ai 그림체 느낌이 있음.(베이비 페이스 + 글래머) 특히 사람 그림체는 좀 귀여운 느낌인데 몬스터는 진지해서 좀 이상한 느낌?그냥 나름 잘 찍어낸 공장형 웹툰 느낌?|1보추 극혐                                                                    16시간전                                    1 보추 극혐|1확실한건 남성층 노리고 연재한건 아닌듯 ㅇㅇ좀 짙네 냄새가                                                                    15시간전                                    0 확실한건 남성층 노리고 연재한건 아닌듯 ㅇㅇ좀 짙네 냄새가|5스시툰인데 그림퀄이 미쳤음.몬스터도 잘그리는듯                                                                    12시간전                                    0 스시툰인데 그림퀄이 미쳤음.몬스터도 잘그리는듯|1그림체 빼고 쓰레기                                                                    12시간전                                    0 그림체 빼고 쓰레기|2노잼임…..                                                                    9시간전                                    0 노잼임…..|1그림체는 볼만하지만 내용은? 못봐줄 정도임                                                                    9시간전                                    0 그림체는 볼만하지만 내용은? 못봐줄 정도임|1내용은 지나가던 개가 쓴거                                                                    8시간전                                    0 내용은 지나가던 개가 쓴거|1플레이팅 잘 된 라면느낌                                                                    6시간전                                    0 플레이팅 잘 된 라면느낌","헌터 명가, [신오 가문]. 신유성은 다섯 살에 신오 가문에서 버림 받게되지만, 그 해 보육원에서 '체술'의 정점인 '권왕'과 만나게 된다. 구음절맥(九陰絶脈)과 극양지체(極陽肢體). 상반되는 두 성질을 몸에 품고 태어난 유성의 재능을 알아본 권왕은 12년 간 그를 수련시킨 끝에 하산을 허락한다. 그렇게 명문 헌터 육성기관, 가온 아카데미에 도착한 신유성. '여기가… 가온 아카데미!' 마침내 태어난 지금까지 없었던 헌터의 탄생에 세상이 동요하기 시작한다!",src/img/헌터아카데미의최강투신.png,,,"2024.04.12,2024.04.12"
