이름,플랫폼,작가,첫화링크,장르,조회수,좋아요,무료,줄거리,키워드,상태,요일,무료주기
악역 황녀님은 과자집에서 살고 싶어,kakao,밤만쥬,https://webtoon.kakao.com/content/%EC%95%85%EC%97%AD-%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%80-%EA%B3%BC%EC%9E%90%EC%A7%91%EC%97%90%EC%84%9C-%EC%82%B4%EA%B3%A0-%EC%8B%B6%EC%96%B4/2721,로맨스 판타지,471.7만,17.1만,3,"찢어지게 가난한 집 아이로 환생한 줄 알았더니…“아나스타샤 황손 저하를 모시러 왔습니다”…아무래도 나는 ‘원작’에서 권력을 탐하다비참한 최후를 맞이하는 황녀에 빙의한 모양이다권력에 관심이 없음을 보여 줄 겸,전생에서 못다 이룬 파티시에의 꿈을 향한 욕심도 채울 겸,계약한 정령의 도움을 받아 열심히 과자만 구웠다맛있는 걸 먹으면 기분이 좋아질 테니설마 나를 죽이지야 않겠지그런데 냉혹하고 비정한 황제(할아버지)도,나를 파멸로 몰고 갈 남주 황태손(사촌 오빠)도,제국 최강의 기사인 소공작(오빠 친구)도,나한테 칼을 꽂을 노예 기사(엘프)도""저하의 라임 파이가 좋다는 말입니다""…이 사람들, 설마 과자 말고 나한테 푹 빠진 건가?디저트처럼 달콤하고 사랑스러운악역 황녀 아샤의 베이킹&힐링 판타지","귀여운,따뜻한,로맨스판타지,힐링물",연재,일,3시간마다 무료
던전 견문록,kakao,손민우,https://webtoon.kakao.com/content/%EB%8D%98%EC%A0%84-%EA%B2%AC%EB%AC%B8%EB%A1%9D/3190,액션/무협,208.3만,9.8만,5,"미궁에서 태어나 괴수의 젖을 먹고 자란 인류의 후손, 특별한 힘과 강인한 신체를 지닌 그들이 돌아왔을 때 인류는 그들을 가리켜 던전 베이비라 불렀다 그중에서도 가장 깊은 미궁에서 태어난 김진우""강해지려고 한 적은 없어 단지 난 살고싶었을 뿐이야""가장 비천한 토굴꾼에서 미궁의 왕까지, 지금 그의 일대기가 펼쳐진다","개성있는,역동적인,액션/무협,에피소드물",연재,토,3시간마다 무료
괴물 공작이 나를 아내로 착각한다,kakao,창만,https://webtoon.kakao.com/content/%EA%B4%B4%EB%AC%BC-%EA%B3%B5%EC%9E%91%EC%9D%B4-%EB%82%98%EB%A5%BC-%EC%95%84%EB%82%B4%EB%A1%9C-%EC%B0%A9%EA%B0%81%ED%95%9C%EB%8B%A4/4002,로맨스 판타지,43.9만,1.9만,3,"빙의한 소설 속 흑막이자 저주받은 '괴물 공작',딜리언 시나이즈가 눈앞에 나타났다대체 누구에게 당한 건지, 다 죽어가는 채로모른 척할 수 없어 치료해줬더니기억을 잃고 이상한 착각을 한다?""당신만 보면 심장이 무섭게 뛰고, 정신이 아찔합니다""""그, 그건…""""역시 저희는 연인이었군요""""아니에요, 모르는 사이였다니까요?""한 번 시작된 오해는 걷잡을 수 없이 커져만 가는데""부인이 제 곁을 떠나면…""""죽이기라도 하게요?""""아니, 당신을 데려간 놈을 죽여야지""이 무서운 남자한테서무사히 벗어날 수 있을까?","귀여운,웃기는,로맨스판타지,힐링물",연재,토,3시간마다 무료
수상한 고백,kakao,은도철,https://webtoon.kakao.com/content/%EC%88%98%EC%83%81%ED%95%9C-%EA%B3%A0%EB%B0%B1/3095,로맨스,98.7만,2.1만,3,"“우리 결혼해”해외 출장에서 다녀온 고민해는 공항에서 짝사랑 상대인 강현과 자신의 단짝 친구인 윤아가 결혼한다는 소식을 듣는다 둘이 사귀는 것도 몰랐는데 결혼이라고? 심지어 윤아는 자신이 좋아하는 상대가 강현임을 알고 있었다성공을 향한 일념으로 일에만 매달려 열심히 살았는데, 그 결과가 절친의 배신과 실연의 콜라보라니울적한 마음으로 퇴근하고 집에 돌아가는 길, 민해는 우연히 길에서 발견한 자신의 반려묘 마리를 구하기 위해 차도에 뛰어든다 사고 직후에 기억나는 건 번쩍이는 헤드라이트 불빛과 붕 떠오르는 감각 ‘이렇게 죽는 건가?’라는 생각이 드는 동시에 눈을 떠보니 교통사고가 나기 1년 반 전으로 돌아왔다이렇게 된 이상 이전 삶과 다르게 살아보겠어 워라밸도 지키고, 늦기 전에 강현이에게 고백도 할 거야의지를 다지던 민해에게 이전 생(?)에선 연관이 없었던 권주혁 부장이 점점 관심을 보이기 시작하는데…우연히 과거로 회귀한 민해의 새 인생 구축 프로젝트","몰입되는,발랄한,로맨스,회귀물",연재,수,3시간마다 무료
구미호를 잘못 키웠다,kakao,노노,https://webtoon.kakao.com/content/%EA%B5%AC%EB%AF%B8%ED%98%B8%EB%A5%BC-%EC%9E%98%EB%AA%BB-%ED%82%A4%EC%9B%A0%EB%8B%A4/3849,로맨스 판타지,229.5만,8.2만,3,"어느 날 요괴를 주웠다 그것도 새끼 구미호를녀석의 거취가 고민이 되던 차 만난 동대륙의 신녀,그녀는 내게 성체가 될 때까지 키운 뒤 고향으로 보내라고 한다새끼 여우를 키우라니…저주받은 인간이 어떻게 어린 생명을 품고 치료한단 말인가낯설고 두려웠지만 거부할 수 없었다여우가, 란이 너무나도 사랑스러웠기에그렇게 애정을 듬뿍 퍼부어 고이고이 키웠는데다 커서 오금이 저리도록 농염해진 녀석이 독립을 거부한다그동안의 훈육이 물거품이 될 정도로 야한 얼굴로""도망치는 건 안 돼""""계속 착하도록 날 도와줘요, 실리아 내 곁에서""영원히","환상적인,에로틱한,로맨스판타지,수인물",연재,화,1일마다 무료
