이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
역천지존,kakaopage,kuyayumu,kuyayumu,무협,완결,완결,138만,9.3,194,6,2일,"정통,고인물,노력,먼치킨,무림,복수,생존,성장,환생,검,술법","일만 번의 윤회,일만 번의 죽음 끝에자유를 얻게 된 담운""나의 강함을 질투해윤회의 굴레에 빠트린 자들에겐피의 복수를 안기리라""수많은 윤회로 최강의 고수가 된 그를감히 막을 자는 누구인가",https://page.kakao.com/content/57407953
경이로운 소문 시즌 제로+시즌3,kakaopage,장이,장이,액션,완결,완결,437.4만,10.0,63,23,1일,"퓨전,초능력,성장,학생",영원불멸의 삶을 위해 지구로 내려온 사후세계 악한 영혼들 그들을 잡는 카운터들의 이야기,https://page.kakao.com/content/60847638
"하녀, 여왕이 되다",kakaopage,"고을원, 페퍼로니",샤이네아,로판,완결,완결,470.4만,9.8,106,4,3일,"로맨스판타지,궁정로맨스,성장물,까칠남,다정남,왕족/귀족,차도남,능력남,능력녀,엉뚱발랄녀,뇌섹녀,나쁜여자,털털녀,삼각관계,신분차이","하녀 출신이나 국왕의 애첩으로 살던 악녀, 유레이니아누명으로 처형당한 그녀는 뜻밖의 회귀를 하게 된다그것도 하녀였던 시절로""이번에도 일단 국왕의 애첩이 되어 보자 그리고 이번엔 사람들에게 밉보이지 않도록 조심하는 거야""하녀 일 말고는 해본 게 없던 유레이니아는 이번에도 철없는 목표를 가지지만""당신에겐 재능이 있습니다 그러니 보다 높은 곳도 가능할 텐데요""살아남기 위해 어쩔 수 없이 시작한 오스카 재상의 조수 일에서 뜻밖의 인정을 받기 시작한다""놀고먹는 게 왜요? 누구나 할 수만 있다면 그렇게 살고 싶지 않나요?""""향상심을 가질 생각은 없습니까?""일 밖에 모르는 오스카와 이상하게 자꾸 주변을 맴도는 국왕 사이에서 유레이니아의 '놀고먹고 싶은 소원'은 산산이 부서진다여왕에서 가장 멀어 보였던 여자의 성장기를 담은 본격 로맨스 코미디",https://page.kakao.com/content/58876824
가족들이 나한테 집착한다,kakaopage,치크밀,하냑,로판,완결,완결,"1,796.7만",9.9,105,3,1일,"로맨스판타지,육아물,재회물,성장물,환생물,복수물,가족물,운명,트라우마,다정남,왕족/귀족,능력녀,외유내강,치유물,권선징악","용사 데보타는 교황 마죠레의 손아귀에서 자라 평생 말 한 번 편히 한 적이 없이 걸핏하면 벌을 받고, 마왕을 처치한 뒤에는 잔인하게 살해 당하기까지 했다 이에 주신은 이번에는 행복하게 살라며 데보타에게 환생을 선물한다그런데 이게 뭐람귀족 집안의 외동딸로 다시 태어나도 모자란 판국에 세속에 찌든 악인이 운영하는 고아원 신세라니이렇게 된 이상 억울해서 복수라도 해야만 한다데보타는 전생의 복수를 결심하며 다이아로서의 삶을 살아가고, 그런 다이아에게 뜻밖의 입양을 제안하는 이가 찾아온다 입양을 제안한 가문은 제국의 방패라 불리는 레오카디아 가문처음엔 경계하던 다이아도 서서히 그들을 가족으로 받아들이며 마음의 문을 열기 시작한다 그런데……""언니가 딱 한 번만 안아 보면 안 될까?""""엄마가 더 좋니, 아니면 아빠가 더 좋니?""""오빠라고 불러줘, 다이아""이 가족, 사랑이 과하다과해도 너무 과하다하루가 다르게 애정을 표하는 레오카디아 공작가 사람들 덕분에 복수는 고사하고 한눈에 반한 렐과의 연애전선에도 차질이 생긴다 와중에 제국을 드리우는 어두운 그림자와 교황을 향한 복수를 위해 고군분투하는 다이아다이아의 2회차 인생은 과연 무사할까?",https://page.kakao.com/content/58460997
후회 남편을 고쳐 쓰겠습니다,kakaopage,이리태,까옹,로판,완결,완결,301.2만,9.9,65,3,1일,"로맨스판타지,오해물,시월드,빙의물,신데렐라,소유욕/독점욕,후회남,절륜남,사이다녀,걸크러쉬,철벽녀,왕족/귀족,순정녀,신분차이,쌍방삽질","“후회남이랑 안 이어지면 후회남 태그 붙이지 말란 말이야”소설 결말을 보고 절규하다 잠들었을 뿐인데, 후회 남편을 버리고 재혼길 걷는 여주인공에게 빙의했다그런데 내 취향은 후회남이다“이렇게 된 거 최애를 개조해야겠군”눈새 최애는 내가 고친다본격 침대에서부터 시작하는 후회 남편 고쳐 쓰기 프로젝트“일단 날 방해하는 시댁 악역들부터 정리해 볼까?”",https://page.kakao.com/content/61822288
쌍둥이 전하들의 가정교사입니다,kakaopage,,헤빈즈,로판,연재중,월,259.1만,9.9,31,4,1일,"로맨스판타지,육아물,환생물,성장물,드라마,왕족/귀족,다정남,능력녀,엉뚱발랄녀,외유내강,사이다녀,신분차이","전생엔 초등교사, 현생엔 가정교사인생 2회 차인 세라 포포는 전생의 경험을 살려귀족 자제들을 대상으로 고액 가정교사 일을 하는 중이었다목표는 건물주그러던 어느 날,제국의 황제가 찾아왔다“포포 양께서 제 동생들의 가정교사를 맡아주면 좋겠어요”물 폭탄, 밀가루 폭탄, 벌레 공격 등온갖 악질 장난은 다 한다고 악명이 자자한 쌍둥이 전하들의가정교사가 되어 달라는 무시무시한 제안을 하기 위해달콤하기 짝이 없는 고액을 곁들인,그 악마의 제안이 세라의 인생을 뒤흔들었다#환생물 #육아물#전생도 현생도 교사 여주#육아지옥에 빠진 황제 남주",https://page.kakao.com/content/63409437
사방팔방 로맨스,kakaopage,신설아,미앵,로맨스,완결,완결,31.3만,9.7,49,50,,"현대로맨스,인외존재,역하렘,로맨틱코미디,캠퍼스물,대형견남,능력녀","사방신과 팔방미인의 사방팔방 어디로 튈지 모르는 아비규환 사랑의 짝대기 ‘청룡’, ‘백호’, ‘현무’, ‘주작’ 사방신은 삼족오의 축복을 가져오는 이에게 사신의 우두머리 자격을 주겠다는 천신의 명을 받고 그를 찾아 나선다 그러나 어렵게 찾아낸 삼족오는 자신의 축복을 이미 인간에게 넘겨주었다며 그의 마음을 사로잡아보라고 비웃고 떠나가는데 삼족오의 축복을 받은 인간 ‘수지’는 하루아침에 과도한 재주를 선물 받아 하루를 48시간처럼 살아가는 특급 팔방미인 재주가 과해 저주가 되어버린 수지는 연애는 꿈도 못 꿀만큼 바쁜 삶을 살고 있는데… 그런 수지의 딱딱한 마음을 네 명의 고조선 오빠들이 사로잡을 수 있을까? 과연 수지의 마음을 녹일 전설 속 오빠는 누구일까?",https://page.kakao.com/content/61908803
스톤,kakaopage,리버,리버,드라마,연재중,목,"1,877",10.0,28,3,,"스릴러,이야기중심,스릴 넘치는","[매월 목요일 연재]5년 전, 도심 중심부에 갑자기 솟아난 ‘거대한 석상’수많은 연구진이 조사를 했음에도 어떠한 정보도 발견하지 못한 석상은하나의 랜드마크로서 사람들의 관심을 받게 된다그러나 불의의 사고로 석상과 접촉하여 발생한 최초의 사망자가 발생하고급기야 붕괴되어 도심을 덮치고 도시는 초토화가 된다그 후 붕괴된 석상에 닿은 사람들이 괴물로 변해 주변인을 습격하기 시작한다붕괴 사태에 휘말려 부모님을 잃은 ‘유세아’는 초토화된 도시에서 만난 동료들과살아남기 위해 고군분투하고 석상과 괴물의 ‘숨겨진 진실’에 점차 다가가게 된다",https://page.kakao.com/content/63432581
소설 속 엑스트라,kakaopage,,캐롯스튜디오,판타지,시즌 휴재,화,"1,691.6만",9.9,100,4,1일,"차원이동,생존,학원,SF,시스템,영웅/신화,노력,성장,검사,용사,이능력,재벌,학생,작가","""나는 누구지?""이 세상은 내가 쓴 소설그러나 나는 단 한 번도 쓴 적 없는 인물이 되었다얼굴은 물음표에다,소설 속 그 누구와도 접점이 없는,아무도 기억 못할 그런 인물영웅 아카데미에 입학한 엑스트라, 아니 소설 속 먼지가 살아남는 법남은 소설 분량까지 버텨야 한다",https://page.kakao.com/content/59365151
왕의 공녀,kakaopage,"최노끼, 와파","잇뱀, 이삼삼, HA찬",로판,일시적 휴재,금,"7,650.9만",9.9,201,4,3시간,"로맨스판타지,차원이동물,소유욕/독점욕,왕족/귀족,냉정남,능력녀,사이다녀","[ 마계에 공물로 바친다 ] 시리어스 제국에 떨어진 갑작스러운 황명영문을 알 수 없는 신탁 때문에 귀족 여인 500명은 순식간에 마계의 공물로, 악마의 소굴 한가운데 떨어진다 그곳에서 제국의 공녀 '루피아 엘 세느안트' 는 너무나 아름다운 악마 '이디스' 를 만난다 언젠가 반드시 따뜻한 가족들의 품으로 돌아가리라 다짐하지만 시간이 지날수록 루피아는 점점 마계의 왕, 이디스에게 마음을 빼앗기게 되는데'공녀' 들을 둘러싸고 마계와 중간계, 천계의 상황은 시시각각걷잡을 수 없이 번져간다",https://page.kakao.com/content/49695972
