이름,플랫폼,작가,첫화링크,장르,조회수,좋아요,무료,줄거리,키워드,상태,요일,무료주기
겨울성의 아기 죄수님,kakao,heeya,https://webtoon.kakao.com/content/%EA%B2%A8%EC%9A%B8%EC%84%B1%EC%9D%98-%EC%95%84%EA%B8%B0-%EC%A3%84%EC%88%98%EB%8B%98/3938,로맨스 판타지,150.9만,6.3만,3.0,"나라는 패망하고, 왕족들이 모두 처형되던 날 밤당연히 자신도 죽을 것이라 생각했던 클라리스는뜻밖의 말을 듣게 된다""열여덟이 되지 않은 자를 사형에 처할 수는 없다대신 네가 열여덟이 되는 날, 나는 너를 죽일 것이다""그렇게 클라리스에게 주어진 십 년이라는 시간'죄수'라는 신분으로 북부로 향하던 클라리스는딱 한 가지를 대공에게 부탁한다""저, 이 친구를 데려가도 괜찮을까요? 제 유일한 친구예요""클라리스가 내민 것은 다름아닌 돌멩이인데?새로이 시작된 북부에서의 삶그런데 이 '죄수'로서의 생활이 자꾸만 좋아진다?","귀여운,따뜻한,로맨스판타지,성공성장물",연재,화,3시간마다 무료
불멸의 투귀,kakao,옥한돌,https://webtoon.kakao.com/content/%EB%B6%88%EB%A9%B8%EC%9D%98-%ED%88%AC%EA%B7%80/2796,액션/무협,562.8만,17.6만,66.0,"차가운 한랭지옥의 아귀가 이승으로 넘어와사람들을 잡아먹는 시대하늘의 최고신 제석천과 그 아래의 사천왕이지옥의 아귀로부터 세상을 지킨다한데 그 최고신 제석천이 주인공 “나수아”의 동생을자신이 아꼈던 이의 환생자라며 데려가려는데나수아가 옷깃을 잡으며 이를 막아서자그것에 불쾌함을 느낀 제석천은 나수아의 팔을 잘라버린다나수아의 하늘에 대한 원한이한랭지옥의 반대편인 뜨거운 초열지옥에 닿았고,나수아는 초열아귀의 팔을 갖게 되는데사람도 아귀도 아니게 된 나수아동생을 되찾기 위해 지옥과 싸우는 하늘에게 맞서려 한다","통쾌한,압도되는,액션/무협,전쟁물",연재,화,3시간마다 무료
악녀는 두 번 산다,kakao,피치베리,https://webtoon.kakao.com/content/%EC%95%85%EB%85%80%EB%8A%94-%EB%91%90-%EB%B2%88-%EC%82%B0%EB%8B%A4/2394,로맨스 판타지,"2,329.9만",66.2만,3.0,"모략의 천재, 황제를 만들다    ""오빠가 잘되어야 너도 잘되는 거야""    온갖 악행을 저질러 오빠를 황제로 만들었다 하지만 아르티제아의 헌신은 배신으로 돌아왔다 죽음의 문턱에서 그녀에게 구원의 손을 내민 것은, 정의로운 숙적 세드릭 대공뿐이었다  “계책을 내라” “……” “이 상황을 뒤집을 수 있는 인물을 나는 그대 외에는 떠올리지 못하겠어 로산 후작” “……” “나에게는 그대의 힘이 필요하다”  이미 기울어진 세력 판도를 뒤집고 도탄에 빠진 제국을 구할 계책은 없다 그러나 방법은 있다 모든 것이 잘못되기 이전으로 시간을 돌리는 것  피의 눈물과 함께 그녀는 자신의 몸을 바쳐 고대마법으로 시간을 돌린다 이번에는, 실패하지 않으리라  죽지 않고 18세로 회귀한 아르티제아는 세드릭 대공을 위한 악녀가 될 것을 결심한다  “저에게 청혼해 주십시오 당신을 황제로 만들어 드리겠습니다”   악마에게 무릎을 꿇은 대가로, 당신은 당신 대신 손을 더럽힐 악마를 얻을 것입니다","몰입되는,긴장감있는,로맨스판타지,회귀물",연재,화,3시간마다 무료
진주,kakao,토와와,https://webtoon.kakao.com/content/%EC%96%BC%EC%9D%8C%EA%BD%83-%EA%B8%B0%EC%82%AC/2860,로맨스 판타지,423.8만,15만,3.0,"뛰어난 검술을 지닌 율리아는 사랑했던 남자에게 이용당하다 살해된다그저 저주로 인해 추악한 얼굴로 살아갔을 뿐이었는데…죽음을 앞둔 순간,저주가 풀리는 것을 목격하며 과거로 회귀한 그녀이제는 자신만을 위해 살아가리라 다짐한다","통쾌한,설레는,로맨스판타지,회귀물",완결,3시간마다 무료,3시간마다 무료
참교육,kakao,이도원,https://webtoon.kakao.com/content/%EB%A7%88%EC%8B%A0%EC%9D%80-%ED%8F%89%ED%99%94%EB%A1%AD%EA%B2%8C-%EC%82%B4%EA%B3%A0-%EC%8B%B6%EB%8B%A4/3251,판타지 드라마,25.1만,1.5만,3.0,"수천 년의 기나긴 투쟁 끝에 집으로 돌아온 남자하지만, 그가 바라던 휴식처는 사라진 뒤였다‘재밌는 세상이 됐네’격변 이후 범죄가 들끓는 무법지대가 된 땅에서가족과의 조용한 삶을 꿈꾸는 마신 이서준한 번의 손짓으로 태산을 옮기고두 번의 손짓으로 하늘을 베어 가르는 절대자목숨이 아깝다면 절대 그의 평화를 깨지 마라","따뜻한,평온한,판타지드라마,힐링물",시즌완결,금,1일마다 무료
화산권마,kakao,진선규,https://webtoon.kakao.com/content/%ED%99%94%EC%82%B0%EA%B6%8C%EB%A7%88/2469,액션/무협,"1,202.8만",38만,3.0,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?","통쾌한,처절한,액션/무협,성공성장물",연재,월,3시간마다 무료
후작가의 역대급 막내아들,kakao,케이,https://webtoon.kakao.com/content/%ED%9B%84%EC%9E%91%EA%B0%80%EC%9D%98-%EC%97%AD%EB%8C%80%EA%B8%89-%EB%A7%89%EB%82%B4%EC%95%84%EB%93%A4/2901,판타지 드라마,698만,27.8만,3.0,"명망있는 후작가의 막내아들 잭 발란티에남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐가문 따위야 멸문을 하든 말든 미련이 없었지만,누나의 죽음이 헛된 희생인 걸 알게 된 후,오로지 복수만을 위한 검귀가 되었다마침내 서대륙을 지배하는돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,다가온 죽음을 겸허히 받아 들였다그런데14살, 과거로 돌아왔다그래, 이건 후회뿐이던 과거를 바로 잡을 기회다이번 생엔 두 번 다시 내 사람들을 잃지 않겠다후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다","압도되는,긴장감있는,판타지드라마,복수물",연재,월,3시간마다 무료
주인공의 여동생이다,kakao,하운드,https://webtoon.kakao.com/content/%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9D%98-%EC%97%AC%EB%8F%99%EC%83%9D%EC%9D%B4%EB%8B%A4/3170,판타지 드라마,93.5만,5.2만,3.0,"얼마전까지 나에겐 도저히 이룰 수 없을 것 같던 소원이 세 개 있었다‘실종된 큰오빠가 돌아오게 해주세요’‘작은 오빠가 균열 짐꾼을 그만둘 수 있도록 각성하게 해주세요’‘막내 오빠는…눈을 떠주기만 한다면…’더는 바랄 것 없이 행복만 가득할 거라고… 그렇게 생각했는데…“큭… 내 안의 어둠을 숨기기 위해 10년만 놀 테니 조금만 더 고생해라, 막내야”큰오빠는 중2병을 얻고 돌아왔다 “형이 10년만 논다니까 나도 10년만 놀게”작은오빠는 각성한 채로 미래에서 회귀했다(고 주장한다) “신의 총애를 받는 고귀한 혼을 모실 기회를 주마, 멍충한 돼지야”막내오빠는… 생각만 해도 골치 아프니 넘어가자“이 밥버러지 식충이들 당장 나가서 일하지 못해”더는 바랄 것이 없는 소녀가장 이보배의 앞길엔 행복이 가득할 수 있을까?","웃기는,공감되는,판타지드라마,성공성장물",연재,월,3시간마다 무료
상사의 청혼,kakao,피피치(해피북스투유),https://webtoon.kakao.com/content/%EC%83%81%EC%82%AC%EC%9D%98-%EC%B2%AD%ED%98%BC/3580,로맨스,143만,3.1만,3.0,"""방금, 뭐라고 하셨죠?""""결혼하자고요, 우리 반지가 여전히 빠지지 않으니까""대체 왜 이래요, 나한테**여느 때처럼 특별할 것 없던 주말, 새봄은 약속 장소에서 자신의 상사, 류지헌 전무와 우연히 마주치고,얼떨결에 그가 건네준 반지를 끼고 '가짜 애인'으로 둔갑해 상견례를 마친다집에 온 새봄은 지헌이 막무가내로 끼워준 반지를 빼려 하는데 도무지 뺄 수가 없다 어쩔 수 없이 반지를 끼고 다니게 되는 새봄그 사이 지헌은 새봄에게 마음이 동하기 시작해, '비즈니스'를 가장한 청혼을 제안한다어느새 단단히 엮이기 시작한 둘, 그리고 여전히 빠지지 않는 반지 이 반지에는 새봄이 모르는 비밀이 담겨있다상처뿐인 사랑에 지쳐, 사랑을 외면하려는 두 남녀가유쾌하게, 그리고 지독하게 얽히는 오피스 로코","발랄한,설레는,로맨스,로맨틱코미디물",연재,월,1일마다 무료
이번 생은 가주가 되겠습니다,kakao,ANTSTUDIO,https://webtoon.kakao.com/content/%EC%9D%B4%EB%B2%88-%EC%83%9D%EC%9D%80-%EA%B0%80%EC%A3%BC%EA%B0%80-%EB%90%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/2473,로맨스 판타지,"3,781.3만",159.2만,3.0,"“…한번 해 보자 내가 가주가 되는 거야” 제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아 게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한 말그대로 제국의 역사 자체 금수저 오브 금수저 인생 당첨 앞으로는 탄탄대로일 거라 생각했는데… 아버지는 돌아가시고, 친척들은 문전박대, 거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야 분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길, 마차에 치여버리기까지 “이건 해도 해도 너무하잖아…” 하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다? 사랑하는 아버지를 다시 보는 것도 믿기지 않는데, 내가 아버지와 가문을 살릴 수도 있다고? 거기다 회귀 전 가문의 원수, 2황자가 대형견마냥 졸졸 쫓아다니기까지? 좋아, 이렇게 된 거 2황자도 가문도 다 내 거다 환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트","통쾌한,몰입되는,로맨스판타지,회귀물",연재,월,3시간마다 무료
