이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
영검존,naverseries,,아이리더,소년,완결,2일,16,8.2,661,4화,습격을 받아 결국 목숨을 잃은 남주는 다시 어린 시절로 돌아가게 됨 힘도 능력도 없던 시절을 다시 거치며 과거의 원수들을 처리하는 성장형 소년 만화,https://series.naver.com/comic/detail.series?productNo=3462629&sortOrder=DESC#priceInfo
오빠세끼,naverseries,올리브유,올리브유,순정,시즌 휴재,수,57,9.9,64,전화,"우리학교 인기남 3인방이 누군가에게는 노답 친오빠?주목받는건 질색 조용하고 존재감 없는 평범한 삶을 추구하는 해주에게는 걸어만 다녀도 튀게 잘생긴 오빠들이 있다해주는 오빠들의 동생임을 숨기며 학교를 다니지만, 결국 들켜버리게 되는데과연 해주는 오빠들이 있는 학교에서 자신의 목표를 이룰수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=6466255&sortOrder=DESC#priceInfo
나의 불편한 상사,naverseries,탄지,남은경,순정,완결,수,15,9.9,83,7화,"결혼까지 생각했던 남자친구에게 잠수이별을 당한 세라,이직 첫날 새 직장에서 남자친구의 뒤통수를 발견하고 냅다 커피를 부었는데알고 보니 생판 처음 보는 남자, 그리고 앞으로 매일 봐야 할 자신의 상사였다?일생일대 최대의 위기에 봉착한 오세라의 오피스 로맨스 코미디접기",https://series.naver.com/comic/detail.series?productNo=8777736&sortOrder=DESC#priceInfo
이세계가 나를 놔주지 않는다,naverseries,섭섭이,양양이,순정,완결,목,3,7.4,52,4화,"연애에는 관심도 없던 식물학자 에밀리아 어느 날 설산에서 샘플 수집을 하다 넘어져 이세계에 떨어지고 마는데…눈을 뜬 에밀리아는 영문도 모른 채 신녀로 추앙받고 있고, 더 놀라운 건 ""뭐? 내가 약혼을 한다고??""하루빨리 이세계에서 빠져나가기 위해 발버둥 치는 에밀리아…과연 원래 세계로 돌아갈 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=8789130&sortOrder=DESC#priceInfo
따개비,naverseries,뜰새,delete,소년,시즌 휴재,수,6,9.3,95,7화,"무인도 등대 관리 공무원에게 펼쳐진 끔찍한 현실 평범했던 어느 날, 그것들이 뭍으로 올라왔다 작은 무인도, 굴덕도의 등대 관리 공무원 이어진 평소처럼 평화롭고 지루한 등대에서 시간이나 때우던 어느 날, 친한 낚시꾼이 넘겨준 감생이에서 표피를 뚫고 나온 괴이한 따개비를 보게 된다 그리고 그 후접기",https://series.naver.com/comic/detail.series?productNo=8272831&sortOrder=DESC#priceInfo
위대한 겸상,naverseries,홍치,홍치,순정,완결,42일,17,9.8,71,8화,어린 시절의 트라우마로 돈가스와 남이 만든 음식을 못 먹게 된 '은겸'은 우연히 단골 편의점 알바생 '혜상'의 먹는 모습을 보고 혜상이 손이 닿은 음식을 먹게 된다 은겸은 혜상과 밥 먹기 위해 함께 밥을 먹는 알바를 제안하는데?돈까스 재벌과 가난한 공시생의 군침도는 먹방 로맨스접기,https://series.naver.com/comic/detail.series?productNo=8571258&sortOrder=DESC#priceInfo
베니루 BAENIRU,naverseries,우지금,우지금,드라마,연재중,수,19,9.9,83,79화,"하루하루 죽지 못해 사는 배지현 어느 날, 어마어마한 수익을 내는 걸로 유명한 버츄얼 너튜버 ‘베니루’의 목소리가 자신의 것과 닮았다는 사실을 우연히 알게 되는데접기",https://series.naver.com/comic/detail.series?productNo=8584097&sortOrder=DESC#priceInfo
다윗의 초상,naverseries,금선,자연,순정,완결,월,좋아요,8.7,48,3화,"뛰어난 모작 실력을 가졌지만 창작엔 재능이 없어 인정받지 못한 화가 요셉은 자괴감을 이기지 못하고 극단적인 선택을 하려고 한다그런 그를 막아선 비밀스러운 여자, 르네자신을 위한 그림을 그려달라는 말에 요셉의 가슴은 요동치고,마지막 기회를 잡고자 그를 따라 화가의 도시,'델모'로 향한다그러나 '델모'에 도착한 후, 기대와는 전혀 다른 의뢰를 받게 되는데…접기",https://series.naver.com/comic/detail.series?productNo=9029169&sortOrder=DESC#priceInfo
남주를 공략하는 방법,naverseries,희열탁마,희열탁마,순정,완결,2일,6,7.7,194,10화,"인기 연예인 남궁수월이 만든 여성향 게임 <경화수월>에 빠져 있는 여주인공 초하어느 날 남궁수월은 초하 앞에 나타나 게임에서 자신을 공략해 달라고 요청한다그를 공략하기 위해 게임 세계로 들어간 초하, 그리고 하나씩 드러나는 남궁수월의 진짜 정체게임을 하면서 점점 더 그의 매력에 빠져 들어가는 초하접기",https://series.naver.com/comic/detail.series?productNo=5056403&sortOrder=DESC#priceInfo
아이싱,naverseries,스튜디오 웨이브,스튜디오 웨이브,소년,완결,목,좋아요,8.2,60,10화,"'건물주가 되려면 대학에 가야 한다고요?'막장 인생 살던 18살 혁수 인생에 전환점이 찾아온다대학을 가기 위해 일진 싸움 방송도 접고 다짜고짜 '싸움꾼'으로서 하키를 하라는데,하나부터 열까지 쉽게 풀리는 일이 하나도 없다접기",https://series.naver.com/comic/detail.series?productNo=8557921&sortOrder=DESC#priceInfo
"이 결혼, 새로고침",naverseries,영,다프네 박,순정,완결,월,17,9.8,80,7화,한 번 친부모에게 버려졌고 두 번 양부모에게 버려졌던 유정자신을 떠났던 수많은 어머니들 때문에 사랑을 믿지 못하는 지운 엄마가 없던 두 사람이 지키고 싶은 소중한 아이를 위해 법적인 부부가 된다 서류상의 부부로 시작해 진짜 가족이 되는 이야기접기,https://series.naver.com/comic/detail.series?productNo=8628321&sortOrder=DESC#priceInfo
