이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
오아뉴-멱살 한번 잡힙시다,naverseries,,게르마늄,드라마,연재중,월,2,6.1,16,11화,"나쁜 놈들 멱살 잡는 특종 기자 서정원 지성, 미모, 재벌 3세 남편까지 완벽한 인생이었다 남편의 내연녀가 죽은 채 나타나기 전까지일편단심 다정한 줄로만 알았던 남편에게 내연녀가 있었다는 사실 만으로도 기가 막히는데, 그녀를 죽인 살인범으로 의심 받기 시작하고벗어나려 할 수록 새로운 사건들이 얽히고 설켜 거미줄처럼 정원을 옭아맨다정원은 오랜 파트너인 지저스, 그리고 얼결에 새로운 파트너가 된 형사 태헌과 함께 진실을 파헤치며 믿을 수 없는 거대한 진실들과 마주하는데접기",https://series.naver.com/comic/detail.series?productNo=10782806&sortOrder=DESC#priceInfo
놓지마 정신줄 시즌3,naverseries,신태훈,나승훈,소년,일시적 휴재,4일,32,9.8,160,157화,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들본격 유체이탈 예방 프로젝트 ‘놓지마 정신줄’",https://series.naver.com/comic/detail.series?productNo=9031997&sortOrder=DESC#priceInfo
욕망일기Deep,naverseries,,박만사,소년,연재중,3일,3,8.4,58,53화,,https://series.naver.com/comic/detail.series?productNo=10378944&sortOrder=DESC#priceInfo
선무제존,naverseries,,침류,무협,연재중,4일,9,8.2,397,5화,"정양종 외문 제자 강진성은 임무 중 단전이 파열되고 만다종문을 위해 목숨을 바쳤건만 돌아오는 건 격려가 아닌 폐물 취급에 그는 제 발로 종문을 박차고 나가게 되는데한순간에 비참한 신세가 되어버린 강진성은 우연히 진화(眞火)를 손에 넣게 되고,그 덕에 순식간에 내력을 회복하게 된 그는 정양종의 적대 종문인 항악종에 입문한다과연 강진성은 과거의 설욕을 핏빛 복수로 갚을 수 있을 것인가접기",https://series.naver.com/comic/detail.series?productNo=5701927&sortOrder=DESC#priceInfo
우리 집 고양이 보고 갈래?,naverseries,삼태,삼태,순정,일시적 휴재,월,52,9.4,70,67화,"고양이 3마리, 강아지 2마리, 그리고 사랑하는 남편 🖤완벽한 날들이 이어지고 있었는데… 갑자기 10년 전으로 회귀해버렸다?애기들을 다시 만나고 남편도 처음부터 꼬셔야만 한다니난이도 극상, 가족 되찾기가 시작된다접기",https://series.naver.com/comic/detail.series?productNo=9349946&sortOrder=DESC#priceInfo
돈내놔,naverseries,은류,도늑,소년,일시적 휴재,수,8,8.7,50,46화,특수부대에서 강제 전역을 당한 후 평범한 삶을 살아가던 주혁은안경을 통해 갑작스럽고 이상한 미션들을 받게 된다될 대로 되라는 심정으로 해당 미션을 수행했더니돈이 미친 듯이 복사되기 시작한다…?돈맛을 본 주혁은 본격적으로 게임에 참여해 압도적인 피지컬을 바탕으로 돈과 목숨을 저울질하는 게임 속 참가자들을 압도하는 이레귤러가 되어간다접기,https://series.naver.com/comic/detail.series?productNo=9904352&sortOrder=DESC#priceInfo
나의 파멸을 바라는 그대들에게,naverseries,원더스,초일,순정,연재중,수,9,9.8,59,3화,"[이제 내가 그들에게 절망을 안겨줄 차례야]서로를 증오하는 부모 사이에서 태어나 애정에 굶주린 채 자라난 소녀, 레오니어느날 의문의 병으로 어머니가 죽고, 아버지는 레오니를 정략결혼의 희생양으로 팔아 버린다고통뿐이었던 세 번의 결혼 끝에 레오니는 억울한 죽음을 앞두게 되는데…'내게 고통을 준 모두에게 복수하겠어'강한 의지 덕분이었을까 레오니는 어린 시절로 회귀하여 복수할 기회를 얻는다불행했던 삶을 되돌려 행복을 찾고 싶은 레오니의 처절한 복수가 이제 시작된다접기",https://series.naver.com/comic/detail.series?productNo=9920788&sortOrder=DESC#priceInfo
쇼윈도 탈출,naverseries,뽀삐,수희,드라마,일시적 휴재,목,좋아요,9.8,10,8화,"완벽한 비주얼에 스윗한 팬서비스로 사랑받는 아이돌 '윤재'운 좋게 인기 예능에 섭외되며 개인 활동까지 성공가도를 달리나 했는데, 그 기쁨도 잠시잊고 살았던 그의 과거가 목을 조여온다 과연 윤재는 빛나는 연예인의 삶을 지켜낼 수 있을까?2022 지상최대공모전 1기 최우수상 수상작접기",https://series.naver.com/comic/detail.series?productNo=10894415&sortOrder=DESC#priceInfo
나를 낳아줘,naverseries,미티,연주,드라마,연재중,화,13,9.6,60,55화,유년시절 친모에게 버림받은 트라우마로 인해비혼주의자의 삶을 사는 스타 사탐강사 이도리그녀의 앞에 미래의 친딸임을 주장하는 영적인 존재인 김미래가 찾아오고그녀의 눈에만 보이는 딸과의 3년간의 거부할 수 없는 동거가 시작된다접기,https://series.naver.com/comic/detail.series?productNo=9491447&sortOrder=DESC#priceInfo
선조귀환,naverseries,소명태극,소명태극,무협,연재중,목,1,8.8,148,5화,"천지의 모든 것을 손바닥 뒤집듯부릴 수 있는 자들만 이름을 올리는 '통천방'그 통천방의 일인자였던 우창현은천겁을 버티지 못 하고 소멸하게 된다그러나 3천년 뒤, 인계에 나타난 우창현은자신이 세운 종문인 청현종에다시금 모습을 드러낸다접기",https://series.naver.com/comic/detail.series?productNo=9105254&sortOrder=DESC#priceInfo
술김에 황후가 되었습니다,naverseries,혜빈,매랭초,순정,연재중,수,7,9.8,59,3화,"“술김에 청혼해서 황후가 된 여인의 일과 사랑을 모두 잡은 성공담”최연소 박사학위 취득 아카데미 수석 졸업생 이 모든 이력에도 불구하고 여자가 너무 똑똑하다는 이유로 10년 만에 만난 약혼자에게 대차게 차인 엘리에르분한 기분에 술집에서 취한 채 이름도 모르는 미남에게 덜컥 청혼을 해버린다술에 취해 던진 얘기라 결혼이 될 리 없다 생각하고 있었는데… 상황이 이상하다“황제였다고?”“설마, 황제에게 청혼하고 농담이었다고 하는 건 아니겠지?”술 취해 던진 헛소리에 상대를 골라도 단단히 잘못 골랐다 도망치려고 해도 포악하기로 유명한 황제에게 벗어나기란 쉽지 않다황실 모독죄로 형장의 이슬로 사라지지 않으면 다행인 상황 황제가 무슨 이유로 취중 결혼을 받아들였는지 모르겠지만 이 남자 진심인 것 같다 “널 만난 순간부터 내 인생에는 너뿐이었다 엘리에르”접기",https://series.naver.com/comic/detail.series?productNo=9994485&sortOrder=DESC#priceInfo
왕신황제,naverseries,김경태,진작,무협,연재중,화,11,8.9,45,4화,"허약 체질인 해진은 학교에서 괴롭힘을 당하는 신세다극복하기 위해 열심히 운동을 하지만, 이상할 정도로 몸이 강해지지 않는다그래도 포기하지 않고 단련을 이어나가던 해진은 우연히 노숙자 장군을 만나 도움을 주게 되고,장군은 해진에게 무언가 느낀 듯 '무공은 실존한다'는 영문 모를 말을 꺼내는데알고 보니 무공 천재 강해진의 현대 무림 정복기접기",https://series.naver.com/comic/detail.series?productNo=10223083&sortOrder=DESC#priceInfo
복수는 꿀보다 달콤하다,naverseries,무소,Jiyonnu,순정,완결,화,6,9.6,100,3화,"[신이시여 감사합니다 저에게 복수할 기회를 주셔서…]레예스 제국의 가장 고귀하고 가장 존경받아야 할 여인,그것이 황후인 나 알렉산드라수단과 방법을 가리지 않고남편인 클레이오를 황제로 만들었으나그에게서 돌아온 것이라곤 사랑도 존경도 아닌내 목을 겨누는 차가운 칼이었다단두대에 올라 클레이오의 얼굴을 본 순간 나는 깨달았다그는 한 번도 나를 사랑한 적이 없다는 것을…그래서 나는 신에게 빌었다만약 다시 한번 기회가 주어진다면반드시 클레이오에게 복수할 것이라고,그리고 다시는 사랑 따위 하지 않겠다고그렇게 단두대에서 목이 잘리는 순간…나는 5년 전, 클레이오와의 결혼식 날로 돌아왔다신이시여 감사합니다 저에게 복수할 기회를 주셔서…접기",https://series.naver.com/comic/detail.series?productNo=8926330&sortOrder=DESC#priceInfo
심장에 피는 독화,naverseries,강희자매,여백,순정,연재중,화,3,9.5,45,3화,"[마물에게 물려 흡혈귀가 된 샤샤와 학대 당하는 왕자 패리스의 로맨스 스토리]어릴 적, 왕궁의 비밀스러운 공간인 자작나무 숲에서 마물에 물려 죽어가는 샤샤를 패리스 왕자는 조건을 걸고 살려주는데…그로부터 10년 뒤 샤샤는 모난 돌멩이 같은 패리스 왕자와 재회했다“우리 약속한 거 잊지 않았지?”접기",https://series.naver.com/comic/detail.series?productNo=10378013&sortOrder=DESC#priceInfo
파도의 포말,naverseries,라떼,라떼,순정,연재중,월,27,9.9,37,32화,"""저를 용서하지 마세요"" 사랑하는 연인에게 끔찍하게 살해당한 마가렛은7년 후 '매그'로써 다시 태어나 새로운 삶을 살아간다 세상 물정 모르던 '매그'는 새로운 삶을 잘 적응해 나갈 수 있을까?그녀의 죽음에 얽힌 진상과 인물들의 성장 러브 스토리접기",https://series.naver.com/comic/detail.series?productNo=10150272&sortOrder=DESC#priceInfo
개같은 아빠,naverseries,미티,개초,드라마,연재중,월,11,9.9,30,25화,"딸의 결혼식 날 죽은 아빠신혼집에서 키우는 개에 빙의 되었는데완벽해 보였던 사위의 불륜이 의심된다개가 된 아빠, 개보다 못한 사위에게서딸을 지켜라접기",https://series.naver.com/comic/detail.series?productNo=10441194&sortOrder=DESC#priceInfo
맹수 사용 설명서,naverseries,성하,마로제이,순정,연재중,월,6,10.0,24,19화,"HN기획의 자칭 타칭 진상 전담, 비서실 소속 서유진어느 날, 갑작스러운 대표의 호출을 받은 그녀는 청천벽력과 같은 소식을 듣게 된다대표의 남동생, 정체를 알 수 없는 재벌가 셋째 아들 '진태오'를 전담마크하라는 것뭔가 께름칙한 느낌을 떨칠 수 없는 가운데, 이런 말까지 덧붙여진다면?""그렇게 어려운 일은 아니야 그냥··· 사회면에만 안 나오게 해주면 돼""그 말에 곧장 도망을 쳤어야 하지만, 돈에 눈이 먼 서유진은 결국 승낙을 하고···그를 처음 만나러 나온 공항, 첫인상은 꽤 아름다운··· 맹수 한 마리?세상 정의롭지만 세상 비정한, 어디로 튈지 알 수 없는 맹수, 저 세상 또라이를 길들여라접기",https://series.naver.com/comic/detail.series?productNo=10560354&sortOrder=DESC#priceInfo
빛나는 나나나나,naverseries,,마라링,순정,연재중,월,23,9.9,32,27화,"왕따를 당한 후 게임중독 은둔형 외톨이로 살고 있던 빛나는 게임에서 만난 찬이를 통해 용기를 얻는다 변장을 하면 밖에 나갈 수 있지 않을까? 그리고 처음으로 변장을 하고 나갔던 날, 괴롭혔던 여자애까지 못알아보는데? 그 후 가발, 렌즈, 화장, 자세와 목소리 톤까지, 달라진 모습으로 변장을 하고 다시 학교에 갈 결심을 하는 빛나 이 모습이라면 자신 있어 그런데 쉐어하우스에서 같이 살게 된 남자애는 나한테 너무 쌀쌀맞아 근데 저 남자애가 설마? 과연 빛나는 이중생활을 들키지 않을 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10353769&sortOrder=DESC#priceInfo
하우스키퍼,naverseries,채용택,유현,소년,일시적 휴재,월,184,9.9,193,190화,'AI가 인간에게 반역하는 것은 인간을 위해서이다'AI 혁명이 일어난 세계에서 사상 최악의 바이러스가 창궐하고 하스티의 주인 네빌은 좀비화가 된다세계연합정부는 환자들의 치료를 포기하고 감염확산을 막기 위해 좀비 학살 정책을 벌인다인간이 인간을 포기한 최악의 상황에서도 하스티는 주인인 네빌을 포기할 수 없었다좀비가 된 주인을 지키기 위한 AI들의 처절한 사투가 시작된다접기,https://series.naver.com/comic/detail.series?productNo=3917974&sortOrder=DESC#priceInfo
집이 없어,naverseries,와난,와난,드라마,연재중,월,1165,10.0,256,251화,"집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영 악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데 기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기접기",https://series.naver.com/comic/detail.series?productNo=3842121&sortOrder=DESC#priceInfo
왕게임,naverseries,신형욱,범고래,소년,연재중,월,18,7.8,95,90화,절대권력을 손에 넣게 된 소년의 학원액션 서스펜스폭력에 순응하며 비굴한 학창 시절을 보내던 고등학생 ‘황초민’어느 날 절연했던 친형의 사망 소식과 함께 그의 핸드폰을 갖게 된다형이 거대 폭력서클 「황제사단」의 단장이라는 사실을 알게 된 황초민은 그를 사칭하여 사단을 조종해 쓰레기들을 처단하기 시작하는데절대로 들켜선 안 될 왕게임이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=8710866&sortOrder=DESC#priceInfo
헥토파스칼,naverseries,버퍼링,길성근,소년,연재중,월,28,9.1,83,78화,"전설로 불리던 싸움꾼 박한준더 이상 잃을 것도 없어 좌절하던 그에게 막대한 돈이 주어진다눈 에는 눈, 이 에는 이내가 당한 것만큼 반드시 되갚아 주겠다받은 것보다 더 돌려주는 통쾌한 복수,그의 거침없는 분노가 폭발한다접기",https://series.naver.com/comic/detail.series?productNo=8786978&sortOrder=DESC#priceInfo
해골협객,naverseries,성불예정,준1,무협,연재중,월,9,9.4,60,56화,고등학교 선생님이었던 김서준 주식과 코인으로 인생의 쓴맛을 보던 김서준은 수학여행에서 수많은 금화를 발견한다 하지만 금화를 줍던 순간 김서준은 저주를 받아 무협 세계로 떨어진다평생 써도 남을 금화를 가지고 무협 세상에서 잘 먹고 잘 살고 싶은 김서준과 그런 그를 어떻게든 굴려먹고 싶어 하는 시스템 그리고 김서준보다 먼저 무림세계에 찾아온 ‘현대의 인물’까지지금부터 무협에 해골을 곁들인 김서준의 무림 일대기가 시작됩니다접기,https://series.naver.com/comic/detail.series?productNo=9632299&sortOrder=DESC#priceInfo
흑역사 어게인,naverseries,안수민,안수민,순정,연재중,월,4,9.9,39,34화,"운 제로, 인복 제로, 외톨이로 보냈던 고독하고 우울한 학창 시절흑역사 그 자체인 어린 시절을 극복하고 행복한 하루하루를 보내고 있는 스물여덟 유미모든 것이 완벽한 나날을 뒤로하고 가장 불행했던 과거로 타입슬립?미래에 두고 온 마지막 사랑과 과거의 잊고 있었던 첫사랑 사이에서의 갈등접기",https://series.naver.com/comic/detail.series?productNo=10132669&sortOrder=DESC#priceInfo
뜻밖의 청혼,naverseries,이건,홍홍,순정,연재중,월,10,9.7,18,13화,노이슈타인의 공주 알리시아가 칼을 든 순간 슈바르한의 늑대 카벨레누스와 조우한 것은 운명이었다 '포기하는 법을 알고 있을 뿐이에요' 오래 전 체념한 알리시아의 손을 놓지 않는 카벨레누스 두 사람은 휘몰아치는 운명의 소용돌이 속에서 걷잡을 수 없이 서로에게 빠져드는데…,https://series.naver.com/comic/detail.series?productNo=10770620&sortOrder=DESC#priceInfo
이섭의 연애,naverseries,김언희,248,순정,연재중,6일,104,10.0,46,42화,"10년 연속 업무달성률 1위 최단기 최연소 승진 코스를 밟고 있는 최우수 사원1등만 해 온 나에게 첫 2등의 경험을 안겨준 입사동기, 강민경내 자존심을 짓밟은 그녀가 나, 태이섭 전무의 비서가 됐다그 뛰어난 업무처리 능력으로 나까지 처리해 버리려고?업무 그만 하시고 여기 좀 봐주시죠 강민경씨아무것도 하기 싫은 태이섭과 어떻게든 해내야 하는 강민경의 대환장 오피스 로맨스접기",https://series.naver.com/comic/detail.series?productNo=10002065&sortOrder=DESC#priceInfo
킬 더 엠페러,naverseries,유황,팬더펭귄,소년,연재중,월,1,9.1,49,3화,"""“태양은 하나여야 한다”“두 개의 태양은 제국민들을 태워 죽일 뿐이다”제국을 호령하던 대마법사, 알렉사르자신이 믿고 따르던 절친한 친우 길리언 테르시오스에게 배신당한 후소국 변방의 검술 명가 망나니로 환생한다절친했던 친우이자 대륙의 유일한 9성급 검사, 길리언에게피의 복수를 하기 위해 대마법사 알렉사르가 움직인다""접기",https://series.naver.com/comic/detail.series?productNo=10192455&sortOrder=DESC#priceInfo
사람의 탈,naverseries,우주돌,우주돌,소년,연재중,월,13,10.0,16,10화,"탈은 예술, 춤은 무술천대받는 탈춤광대 ‘봉산’은 스승이 남긴 지도를 따라왕이 되려는 괴물 호랑이 ‘사풍흑호’를 막기 위해전설 속의 '사람의 탈'을 찾아 모험을 떠나게 되는데 …접기",https://series.naver.com/comic/detail.series?productNo=10809677&sortOrder=DESC#priceInfo
친애하는 연서,naverseries,김방학,김방학,드라마,연재중,월,좋아요,10.0,12,8화,"명문 청한대학교의 여신 '남연서' 예쁘고 귀여운 연서는 친절하고 사랑스럽기까지 한 사기캐로, 학교 모든 남자들이 그녀를 좋아한다 그런데 어느 날부터 연서의 곁에 웬 XX가 얼쩡거리자 연서의 절친 '황선미'는 초조해진다  ""두 사람은 절대 만나면 안돼 그 XX는 연서랑 만나기에 너무 별로인 사람이니까 다른 이유는 없어""접기",https://series.naver.com/comic/detail.series?productNo=10876857&sortOrder=DESC#priceInfo
불 빌려드릴까요?,naverseries,호진,호진,순정,연재중,월,11,10.0,12,7화,"실은 선생님이 되고 싶지 않았다 꿈을 접고 선택한 길에 나름의 책임을 다하려는 찰나, ""불 빌려드릴까요?"" 건방진 남학생이 건넨 말천재적인 재능, 넘쳐나는 재력, 유명세는 덤인 이 건방진 애와 얽히면서 선생으로서의 인생이 삐걱대는 것 같다꿈과 재능 그리고 사랑이 얽힌 학교생활 이야기접기",https://series.naver.com/comic/detail.series?productNo=10887174&sortOrder=DESC#priceInfo
헬스x로맨스,naverseries,인미,인미,순정,연재중,월,1,9.5,11,6화,어렸을 적 뚱뚱하다는 이유로 좋아하는 여자애에게 차이게 된 이지훈그 트라우마 때문에 운동을 열심히 해서 헬스 트레이너까지 하게 된다그러다 우연히 자신의 첫 회원이 자신을 찼던 여자애란 것을 알게 된 이지훈은 PT를 해주는 척 복수를 꿈꾼다과연 지훈은 그녀에게서 고백을 받아낼 수 있을까?우당탕탕 찌질한 지훈의 고백받기 프로젝트접기,https://series.naver.com/comic/detail.series?productNo=10930312&sortOrder=DESC#priceInfo
정신을 차렸을 땐 흑막 주군이 감긴 후였다,naverseries,연말,연말,순정,일시적 휴재,월,5,9.8,41,3화,"[매주 화요일 업데이트]북부를 지키는 검이자, 냉철하고 완벽한 윌로우 공작과 호위 기사인 아버지셀린은 그들을 보며 자신의 주군인 데미안과 만날 날을 손꼽아 기다리고 있었다그런데 주군이 될 이 남자… 북부의 위엄은 어디에도 없고 해사한 미소에 마른 몸, 심지어 친구조차 없는 외톨이라고?하지만 그가 어떤 사람이든 자신이 모셔야 할 윌로우 가문의 하나뿐인 후계자라는 것과주군을 지키는 것이 호위 기사의 도리라는 사실은 변하지 않기에‘괜찮… 괜찮아 내가 더 유능해지면 될 일이야’남몰래 굳은 각오를 다졌는데, 어라…? 연약한 줄 알았던 소공작님이 뭔가 수상하다?*원작: 교시 [웹소설] 정신을 차렸을 땐 흑막 주군이 감긴 후였다접기",https://series.naver.com/comic/detail.series?productNo=10303443&sortOrder=DESC#priceInfo
피폐물 남주에게 꽃길을,naverseries,지구본사탕,피디님라부,순정,연재중,월,9,9.8,36,3화,"피폐물 소설 속으로 빙의해버렸다그것도 내 최애가 흑막이 되기 직전의 시점으로이대로 가다가는내 최애가 흑막이 되고 죽는 게 확정된 상황 최애를 죽게 둘 수는 없으니,최선을 다해서 지켜주자 어떻게? 결혼해서접기",https://series.naver.com/comic/detail.series?productNo=10497134&sortOrder=DESC#priceInfo
리: 플레이어,naverseries,,LURENGAN,소년,일시적 휴재,화,좋아요,7.8,161,4화,"2030년 9월 1일, 가상 현실 게임 <원계>가 오픈한 뒤 36일이 지나고현실과 <원계>의 세계가 융합되는 사건이 발생한다그로 인해, <원계> 고렙 유저들이 세계를 거의 정복하게 되고게임을 하지 않은 자들은 도태되어 혼돈이 찾아오게 된다유해일은 유일하게 남은 여동생이 고렙 유저들에게죽임당하게 되는 걸 지켜볼 수 밖에 없었고 자신 또한 그들의 희생자가 된다하지만, 그가 다시 눈을 떴을 때, 2030년 7월 27일, <원계> 런칭날에 깨어나게 되고미래에 일어날 대격변을 대비하여 빠르게 레벨업을 하려고 하는데접기",https://series.naver.com/comic/detail.series?productNo=8115685&sortOrder=DESC#priceInfo
역천사신,naverseries,,소명태극,무협,연재중,화,5,8.2,317,5화,"현맥으로 정해진 힘이 곧 지위인 세상에서,소태화는 망가진 현맥으로 가문의 후광조차 받지 못한열등감 덩어리로 자라난다그런 소태화는 유운성 최고 미인과의 혼삿날, 질투에 미친 소태진에게 독살당한다 유운성과 멀리 떨어진 어느 대륙에서 갓난아기로 환생한 소태화는,명의의 손에서 태운이라는 이름으로 자라게 된다허나 천독주라는 보물 때문에 사부를 잃게 된 태운은 복수를 다짐하며,천독주를 빼앗기지 않으려 절벽에 몸을 던졌는데…눈을 떴더니, 독살 당한 직후 혼삿날이 아닌가그 와중에 빼앗기지 않으려 삼킨 보물 천독주와 몸이 동화 되었는데…과연 소태화는 망가진 현맥을 고치고모두에게 무시당하던 인생을 고쳐낼 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=5695099&sortOrder=DESC#priceInfo
약 파는 황태자,naverseries,문백경,다댕,소년,연재중,월,8,9.9,28,23화,"내가 황태자라고? 소설 속 병약요절한 그 황태자?그런데 나, 한의사인데?어쩔 수 없다체질개선, 원기회복, 자양강장, 활력증진까지이제부터 내 몸은 내가 챙긴다접기",https://series.naver.com/comic/detail.series?productNo=10402051&sortOrder=DESC#priceInfo
일홀도,naverseries,설봉,장래혁,무협,연재중,월,8,9.3,29,24화,"일홀문(一忽門)무인 십만 명에게 무공을 가르치면, 한두 명쯤은 진짜 검귀가 탄생한다초식에 구애받지 않고, 진기 고하(高下)나 경륜 같은 것에도 아랑곳하지 않고마주 선 상대를 무조건 베어내는 진짜 강한 놈이 나타난다그놈이 일홀이다접기",https://series.naver.com/comic/detail.series?productNo=10513112&sortOrder=DESC#priceInfo
랜덤채팅의 그녀!,naverseries,박은혁,박은혁,드라마,연재중,월,2134,9.2,334,331화,랜덤채팅만 하던 준우에게 온 기적과연 그녀에게 다가갈수 있을까?,https://series.naver.com/comic/detail.series?productNo=3166015&sortOrder=DESC#priceInfo
렌탈히어로,naverseries,포르토,코벳,드라마,일시적 휴재,월,15,9.8,59,54화,자리를 비운 히어로들 대신 일반인 행세를 하는 도플갱어 이주원 그에게 히어로 랭킹 1위 '저스티스'가 찾아와 자신의 일반인 대타를 부탁한다 거액의 보수에 흔쾌히 승낙하고 약속한 장소를 찾아간 이주원은 예상치 못한 광경을 보게 되는데…,https://series.naver.com/comic/detail.series?productNo=9688105&sortOrder=DESC#priceInfo
배드 엔딩 메이커,naverseries,오일구,심재영,소년,연재중,월,13,9.9,54,47화,"“사표 쓰세요, 민철 씨”경영진의 과금 정책에 반대한다고,청춘을 바쳤던 직장에서 하루아침에 잘렸다그렇게 윙즈 온라인 디렉터로서의 인생은 끝났다내가 만든 게임이고 내가 만든 세계다그러니까이 세계를 마무리하는 것도 오직 나뿐이다스스로 최종 보스가 되어이 게임을 내 손으로 직접 끝장내 버리겠다""이제 배드 엔딩이 뭔지 똑똑히 보여 주지""접기",https://series.naver.com/comic/detail.series?productNo=9849077&sortOrder=DESC#priceInfo
아카데미 플레이어를 죽였다,naverseries,사람살려.,기린그린,소년,연재중,월,15,8.9,32,27화,플레이어를 죽였다죽일 만한 놈이었다 아주 X새끼였거든접기,https://series.naver.com/comic/detail.series?productNo=10378077&sortOrder=DESC#priceInfo
성검전설,naverseries,최다킬,최다킬,소년,연재중,14일,40,10.0,41,37화,마왕을 쓰러뜨릴 단 하나의 무구더보기,https://series.naver.com/comic/detail.series?productNo=10082049&sortOrder=DESC#priceInfo
집착남주의 전부인이 되었습니다,naverseries,하담,꿀생강,순정,시즌 휴재,월,27,9.2,35,전화,"""이르웬, 당신과 결혼한지도 벌써 4년이야 내가 그 얕은 수작을 모를까봐?""패국의 공녀, 희대의 악처, 그리고 남편을 살해하려다 처형당하는 악녀 이르웬 릴리아스원작이 시작되기 1년 전 시점에 이 악녀의 몸에 빙의했다 내가 악녀라고? 이럴 수는 없다어떻게든 남편에게 모든 패악질을 참회하고, 착해진 나를 어필해 살아남아야겠다목표는 이혼 조용히 이혼하고 멀리 떠나서 평온한 여생을 보내는 거야그런데 남편이 조금 이상하다 설마, 나를 싫어하는 게 아니었어?""수작이요? 나는 당신과 사이좋게 지내려고 애쓰는 중이에요""""그렇다면 이제 그 의무도 받아들일 준비가 된 건가? 아이를, 낳는 것 말이야""접기",https://series.naver.com/comic/detail.series?productNo=10046767&sortOrder=DESC#priceInfo
로잘린 보가트,naverseries,삼월에,마하,순정,시즌 휴재,월,45,9.9,96,93화,"""남편이 어여뻐야 시가에 돈벼락이 내리지 않겠어요?""왕족과 귀족의 사치로 재정이 무너져가는 칼라브리아 왕국평민의 신분으로 거부가 된 부르주아, 보가트 상단은 자신들이 유일하게 갖지 못한 명예를 얻기 위해보가트 상단의 천덕꾸러기 차녀 로잘린과 칼라브리아 왕가의 최고 미인 로비엔을 결혼시키고자 하는데···돈으로 산 명예, 혼인으로 막은 왕가의 파산, 뜻하지 않은 결혼을 하게 된 둘은서로의 치부를 감싸안고 가까워질 수 있을까접기",https://series.naver.com/comic/detail.series?productNo=8678844&sortOrder=DESC#priceInfo
김부장,naverseries,박만사,정종택,소년,연재중,월,203,9.2,137,132화,"제발 안경 쓴 아저씨는 건들지 말자오직 자신의 딸 '민지'를 위해 특수요원직을 관두고 평범함을 선택한 가장 김부장그러던 어느 날 민지가 소리소문 없이 사라지고, 김부장은 자신을 감시하는 국가를 적으로 돌리면서까지 딸을 찾아나서기 시작하는데[외모지상주의], [싸움독학] 그리고 [인생존망]을 잇는 박태준 유니버스의 공식 스핀오프 작품접기",https://series.naver.com/comic/detail.series?productNo=6732898&sortOrder=DESC#priceInfo
서울 자가에 대기업 다니는 김 부장 이야기,naverseries,명랑,김병관,드라마,연재중,월,26,9.2,26,20화,"집에서는 과묵하지만 누구보다 아내와 자식을 생각하고, 회사에서는 책임감 있는 팀의 리더로 인정받으며 살아가지만 세상은 그를 꼰대라고 부른다 스스로의 행복보다는 남의 시선이 더 중요한 사람 그래서 나의 이야기보단 남의 자식, 남이 타는 차, 남이 살고 있는 집의 이야기에 민감하고 집착하는 김 부장 서울 자가에 대기업을 다니는 김 부장은 행복해 질 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10578032&sortOrder=DESC#priceInfo
사표내고 이계에서 힐링합니다,naverseries,딥블랙,파란,소년,연재중,월,29,9.8,82,77화,"※매주 화요일 연재평범하지만 행복한 삶을 살던 주인공 이수5년 전 갑작스레 부모님을 잃고 폐인이 되어 하루하루를 힘겹게 살아간다숨 막히는 일상에 메말라가던 그때, 다용도실에서 차원문이 열렸다 가본 적 없는 곳, 무엇이 있을지 모르는 곳평민으로 시작해 영주까지, 이세계에서 잔잔하게 즐기는 힐링 라이프접기",https://series.naver.com/comic/detail.series?productNo=8905038&sortOrder=DESC#priceInfo
21세기 반로환동전,naverseries,월귤,남장현,무협,연재중,월,8,8.1,35,4화,무공을 쓰는 무림인들이 암흑가의 패권을 잡는 사회수명이 다 되어 늙어 죽기는 싫다는 불순한 동기로강박적인 선행과 도를 행하며 구한말부터 살아온도사 허풍개는 어느 날 갑작스레  반로환동을 하는데지극히 이기적인 인간들 틈에 자신이 행하는선에 의미를 잃은 허풍개는 과연자신이 원하는 등선을 할 수 있을까?접기,https://series.naver.com/comic/detail.series?productNo=10669264&sortOrder=DESC#priceInfo
마음의 소리2,naverseries,조석,조석,소년,연재중,월,55,9.9,43,39화,"'마음의소리' 완결 후 3년, 조석 작가의 결코 소소하지 않은 일상(?) 대공개 제목은 '너는 그냥 개그만화나 그려라'(였는데 다들 '마음의소리2'라 불러서 제목 바꿈)접기",https://series.naver.com/comic/detail.series?productNo=10103868&sortOrder=DESC#priceInfo
