이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
흑막 약혼자가 내 꽃길을 방해한다,kakaowebtoon,4랑니,혀나,로맨스 판타지,연재,목,84.8만,3.4만,30,3,1일마다 무료,"신탁을 잘못 해석해 탄생한 가짜 성녀제국을 속인 사기꾼가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀그게 원작에서의 내 역할이었다책 속에 환생했다는 것을 알게 된 후, 나는 결심했다이 나라에서는 도저히 더럽고 치사해서 못 살겠다답은 망명뿐이야망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다아무도 죽이지 않고, 아무도 시기하지 않고그런데, 뭔가 이상하다원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다이번엔 내가 안 그랬는데?","설레는,궁금하게하는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%ED%9D%91%EB%A7%89-%EC%95%BD%ED%98%BC%EC%9E%90%EA%B0%80-%EB%82%B4-%EA%BD%83%EA%B8%B8%EC%9D%84-%EB%B0%A9%ED%95%B4%ED%95%9C%EB%8B%A4/3957
황녀님이 사악하셔,kakaowebtoon,"포알카, 별다섯(ARC)","슈슈, 화솜",로맨스 판타지,연재,금,271.2만,15.5만,122,3,3일마다 무료,"나는 삼백 살이 넘는 마녀이지만, 믿었던 인간에게 배신당해 죽었다꼼짝없이 영혼계에 붙잡혀 있을 줄 알았는데 서로가 서로를 죽이는 황실에 황녀로 환생했다이렇게 된 이상 내가 황제가 돼야겠다 “너 내 부하가 대라”이렇게 했으니까 모두 나를 두려워하겠지, 생각했는데“한 번만 만져주면 안 돼? 네가 머리를 쓰다듬어줬다고 하면 모두가 부러워할 거야”…뭐야 왜 이래 “더 해 줘 귀여우니까”하지만 단체로 미쳤나, 싶을 정도로 내게 맹목적인 애정을 보이고 있다…나 황제 될 수 있겠지?","귀여운,발랄한,로맨스판타지,육아물",https://webtoon.kakao.com/content/%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%B4-%EC%82%AC%EC%95%85%ED%95%98%EC%85%94/3007
공포게임 남주와 감금당했다,kakaowebtoon,억만장녀,피나타,로맨스 판타지,연재,금,36.7만,1.9만,27,3,3시간마다 무료,"공포게임 속 메이드가 되었다대저택에 갇혀 탈출하려는 남주에게 페널티를 주거나, 안내자 역할을 해주는남주의 플레이가 끝날 때까지 대충 의무만 이행하려 했는데“내가 나가기만 하면, 당신도 똑같이 가둬둘 겁니다”남주가 너무 시끄럽다이렇게 된 거 빨리 그가 탈출하도록 돕기로 했다“밥 먹자, 디트리히”“포션이야 이거 바르면 바로 나을 거야”“이번 탈출 힌트가 저기에……”다음 플레이를 위해 든든히 먹였고,남주가 다치면 빨리 다음 플레이를 하도록 포션을 주었고,대놓고 문제의 힌트도 주었다자, 이제 나갈 수 있겠지?그런데“글쎄 답을 잘 모르겠군요”머리도 잘 돌아가는 녀석이 이게 무슨 말이야?……남주가 도무지 저택에서 나갈 생각을 안 한다“네가 안 나가면 내가 나갈게”저 꼴 보기 싫은 놈을 계속 봐야 한다는 생각에 짜증이 나 홧김에 외쳤는데“당신 여기서 나갈 수 있는 것이었습니까?”그의 눈이 싸악 가라앉았다“말해두겠는데, 저는 여기서 나갈 생각이 없습니다”“뭐?”“그리고 당신도 못 나갑니다”대체 이게 어떻게 된 일이지?","미스테리한,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B3%B5%ED%8F%AC%EA%B2%8C%EC%9E%84-%EB%82%A8%EC%A3%BC%EC%99%80-%EA%B0%90%EA%B8%88%EB%8B%B9%ED%96%88%EB%8B%A4/3996
이차원 용병,kakaowebtoon,발로,발로,학원/판타지,연재,금,598.5만,17.4만,90,0,3시간마다 무료,"취직하고 싶습니까?영혼을 팔아서라도 취직하고 싶으십니까?그렇다면 잘 오셨습니다취업 정보 사이트 영팔이는 영혼을 팔아서라도일자리를 구하고 싶은 이, 바로 당신을 위한 곳입니다 천사인가, 악마인가서른 살 백수 강철호는 정체 모를 그들과 계약을 했다영혼을 팔아서라도 돈, 그놈의 돈을 벌기 위해 다른 차원의 계약자들에게 빙의하여,그들이 가장 절망하던 순간의 삶을 바꾸는 것그것이 강철호에게 주어진 사명, 미션(Mission)이다","궁금하게하는,몰입되는,학원/판타지,차원이동물",https://webtoon.kakao.com/content/%EC%9D%B4%EC%B0%A8%EC%9B%90-%EC%9A%A9%EB%B3%91/2317
부모님을 죽인 원수와 결혼했습니다,kakaowebtoon,어기죽,어기죽,로맨스 판타지,시즌완결,금,643.6만,6만,41,42,연재 무료,"항상 변치 않는 나의 영지에서 진실로 사랑하는 사람과 영원히 함께 할 수 있길 바란 내 소원이 이루어진 생애 최고의 날그날이 내 생애 가장 비극적인 날이 되리라곤 상상조차 하지 못했다""왜 날 살려두었나요""""내가 그대를 사랑하기 때문입니다 루니에""사랑?내 부모님을 죽이고 가문의 영지를 빼앗은, 내 연인의 목숨을 쥐고 내 순정을 짓밟은 그가 사랑을 입에 담는다절대 용서할 수 없어반드시 이자가 저지른 악행을 알리고 죗값을 받게 하겠어","에로틱한,설레는,로맨스판타지,몸정>맘정",https://webtoon.kakao.com/content/%EB%B6%80%EB%AA%A8%EB%8B%98%EC%9D%84-%EC%A3%BD%EC%9D%B8-%EC%9B%90%EC%88%98%EC%99%80-%EA%B2%B0%ED%98%BC%ED%96%88%EC%8A%B5%EB%8B%88%EB%8B%A4/3576
백작 영애의 애인을 꼬셔라,kakaowebtoon,DIAN,MQ,로맨스 판타지,연재,금,45만,1.9만,71,3,3시간마다 무료,"18살 마탑에 갇혀 황제에게 이용만 당하다가 회귀한 리델 크로스이번 생에는 절대 마법과 관련 없는 평범한 삶을 살 것이라 다짐하며, 백작가의 메이드가 되는 것까지는 좋았는데백작은 리델에게 밀레나 아가씨의 애인으로 소문난 그레이엄을 꼬셔 떼어내라는 명령을 내린다하지만 떼어내라는 놈이 회귀 전 황제와 너무 똑같이 생겨서 적응 안 되는 그레이엄? 얼굴만 봐도 벌벌 떨리는데 저 사람을 꼬시라니요","궁금하게하는,설레는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%B0%B1%EC%9E%91-%EC%98%81%EC%95%A0%EC%9D%98-%EC%95%A0%EC%9D%B8%EC%9D%84-%EA%BC%AC%EC%85%94%EB%9D%BC/3358
공녀고 나발이고 집에 간다고,kakaowebtoon,물길,휴즈독,로맨스 판타지,연재,수,38.1만,1.8만,23,3,3시간마다 무료,"로또에 당첨된 걸 확인하고 회사를 때려치우려고 했는데판타지 세상 속 공녀의 몸으로 들어와 버렸다당첨금 수령 기간은 1년무슨 수를 써서라도 그 전까진 집에 돌아가야 한다17억아, 엄마 금방 갈게 기다려아니, 그런데 이 가족들이 왜 이래?“널 사랑한단다”저 아저씨 딸 아닌데요“내 동생, 우리 막내 다칠 수 있으니까 내가 들어 줄게”그게 나를 들어 올린다는 뜻이었어? 뭐야, 이 거대 불곰은“한 번만 더 내 동생에게 까불었다간, 쥐도 새도 모르게 없애 주지”넌 얼굴도 예쁜 애가 무슨 말을 그렇게 험악하게 하니“너는 좀 아프지 마라”나한테 신경 꺼 뭔 오빠들이 이렇게 많아저 공녀 아니라고요 나 좀 내버려 둬 집에 가게","설레는,감동적인,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B3%B5%EB%85%80%EA%B3%A0-%EB%82%98%EB%B0%9C%EC%9D%B4%EA%B3%A0-%EC%A7%91%EC%97%90-%EA%B0%84%EB%8B%A4%EA%B3%A0/4025
나는 될 놈이다,kakaowebtoon,서윤교,서윤교,학원/판타지,연재,수,586.2만,10.4만,206,3,3시간마다 무료,"모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다 될 놈은 되게 되어있다 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책 행운으로 게임을 정복한다","개성있는,통쾌한,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EB%82%98%EB%8A%94-%EB%90%A0%EB%86%88%EC%9D%B4%EB%8B%A4/2339
마왕의 아이로 살아남는 법,kakaowebtoon,이은탁,kwvh,로맨스 판타지,연재,월,149.9만,7.3만,53,3,3시간마다 무료,"천 번에 가까운 회귀를 거듭하며 세계 멸망을 막아 보고자 아무리 용을 써도,나는 결코 결말을 바꿀 수 없었다이제는 지친다 회귀도 지긋지긋하다이번에는 몇 살로 회귀할까회귀 따위, 다시는 하고 싶지 않은데“으다앙”잠깐뭐야, 이 목소리는뭐야, 이 단풍잎처럼 작은 손은“누가 이런 갓난아기를 갖다 버린 거야?”이번 생은 갓난아기로 회귀해 버렸다그것도 세계를 수천 번 멸망시키고 있는 장본인인, 루카스의 저택 앞에서갓난아기라니 팔도, 목도 제대로 못 가누는 갓난아기라니아니지, 잠시 진정하고 생각해 보자이번 생이야말로 루카스 곁을 밀착 감시하면서 세계 멸망을 막을 수 있는 엄청난 기회일지도 모른다날 경계하고 긴장해라, 루카스이번엔 네놈이 이 세계를 멸망시키지 못하도록 할 테니까나는 소리를 높여 악랄하게 깔깔 웃었다아하하하하 아하하하하“까르르르”“어머나 우리 아기님은 웃음소리도 귀여우시네”젠장","몰입되는,웃기는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%A7%88%EC%99%95%EC%9D%98-%EC%95%84%EC%9D%B4%EB%A1%9C-%EC%82%B4%EC%95%84%EB%82%A8%EB%8A%94-%EB%B2%95/3236
묵향 다크레이디,kakaowebtoon,이재헌,구깃,학원/판타지,연재,월,"2,657.3만",91.4만,120,0,3시간마다 무료,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다","통쾌한,몰입되는,학원/판타지,로드무비",https://webtoon.kakao.com/content/%EB%AC%B5%ED%96%A5-%EB%8B%A4%ED%81%AC%EB%A0%88%EC%9D%B4%EB%94%94/2341
겨울성의 아기 죄수님,kakaowebtoon,heeya,heeya,로맨스 판타지,연재,화,158만,6.5만,30,2,3시간마다 무료,"나라는 패망하고, 왕족들이 모두 처형되던 날 밤당연히 자신도 죽을 것이라 생각했던 클라리스는뜻밖의 말을 듣게 된다""열여덟이 되지 않은 자를 사형에 처할 수는 없다대신 네가 열여덟이 되는 날, 나는 너를 죽일 것이다""그렇게 클라리스에게 주어진 십 년이라는 시간'죄수'라는 신분으로 북부로 향하던 클라리스는딱 한 가지를 대공에게 부탁한다""저, 이 친구를 데려가도 괜찮을까요? 제 유일한 친구예요""클라리스가 내민 것은 다름아닌 돌멩이인데?새로이 시작된 북부에서의 삶그런데 이 '죄수'로서의 생활이 자꾸만 좋아진다?","귀여운,따뜻한,로맨스판타지,성공성장물",https://webtoon.kakao.com/content/%EA%B2%A8%EC%9A%B8%EC%84%B1%EC%9D%98-%EC%95%84%EA%B8%B0-%EC%A3%84%EC%88%98%EB%8B%98/3938
불멸의 투귀,kakaowebtoon,옥한돌,옥한돌,액션/무협,연재,화,571.8만,18만,60,47,3시간마다 무료,"차가운 한랭지옥의 아귀가 이승으로 넘어와사람들을 잡아먹는 시대하늘의 최고신 제석천과 그 아래의 사천왕이지옥의 아귀로부터 세상을 지킨다한데 그 최고신 제석천이 주인공 “나수아”의 동생을자신이 아꼈던 이의 환생자라며 데려가려는데나수아가 옷깃을 잡으며 이를 막아서자그것에 불쾌함을 느낀 제석천은 나수아의 팔을 잘라버린다나수아의 하늘에 대한 원한이한랭지옥의 반대편인 뜨거운 초열지옥에 닿았고,나수아는 초열아귀의 팔을 갖게 되는데사람도 아귀도 아니게 된 나수아동생을 되찾기 위해 지옥과 싸우는 하늘에게 맞서려 한다","통쾌한,압도되는,액션/무협,전쟁물",https://webtoon.kakao.com/content/%EB%B6%88%EB%A9%B8%EC%9D%98-%ED%88%AC%EA%B7%80/2796
악녀는 두 번 산다,kakaowebtoon,피치베리,피치베리,로맨스 판타지,연재,화,"2,350.9만",66.8만,196,3,3시간마다 무료,"모략의 천재, 황제를 만들다    ""오빠가 잘되어야 너도 잘되는 거야""    온갖 악행을 저질러 오빠를 황제로 만들었다 하지만 아르티제아의 헌신은 배신으로 돌아왔다 죽음의 문턱에서 그녀에게 구원의 손을 내민 것은, 정의로운 숙적 세드릭 대공뿐이었다  “계책을 내라” “……” “이 상황을 뒤집을 수 있는 인물을 나는 그대 외에는 떠올리지 못하겠어 로산 후작” “……” “나에게는 그대의 힘이 필요하다”  이미 기울어진 세력 판도를 뒤집고 도탄에 빠진 제국을 구할 계책은 없다 그러나 방법은 있다 모든 것이 잘못되기 이전으로 시간을 돌리는 것  피의 눈물과 함께 그녀는 자신의 몸을 바쳐 고대마법으로 시간을 돌린다 이번에는, 실패하지 않으리라  죽지 않고 18세로 회귀한 아르티제아는 세드릭 대공을 위한 악녀가 될 것을 결심한다  “저에게 청혼해 주십시오 당신을 황제로 만들어 드리겠습니다”   악마에게 무릎을 꿇은 대가로, 당신은 당신 대신 손을 더럽힐 악마를 얻을 것입니다","몰입되는,긴장감있는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%95%85%EB%85%80%EB%8A%94-%EB%91%90-%EB%B2%88-%EC%82%B0%EB%8B%A4/2394
화산권마,kakaowebtoon,진선규,진선규,액션/무협,연재,월,"1,220.6만",38.5만,60,0,3시간마다 무료,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?","통쾌한,처절한,액션/무협,성공성장물",https://webtoon.kakao.com/content/%ED%99%94%EC%82%B0%EA%B6%8C%EB%A7%88/2469
후작가의 역대급 막내아들,kakaowebtoon,케이,케이,판타지 드라마,연재,월,708.6만,28.2만,30,0,3시간마다 무료,"명망있는 후작가의 막내아들 잭 발란티에남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐가문 따위야 멸문을 하든 말든 미련이 없었지만,누나의 죽음이 헛된 희생인 걸 알게 된 후,오로지 복수만을 위한 검귀가 되었다마침내 서대륙을 지배하는돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,다가온 죽음을 겸허히 받아 들였다그런데14살, 과거로 돌아왔다그래, 이건 후회뿐이던 과거를 바로 잡을 기회다이번 생엔 두 번 다시 내 사람들을 잃지 않겠다후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다","압도되는,긴장감있는,판타지드라마,복수물",https://webtoon.kakao.com/content/%ED%9B%84%EC%9E%91%EA%B0%80%EC%9D%98-%EC%97%AD%EB%8C%80%EA%B8%89-%EB%A7%89%EB%82%B4%EC%95%84%EB%93%A4/2901
주인공의 여동생이다,kakaowebtoon,하운드,콕,판타지 드라마,연재,월,94.8만,5.2만,80,3,3일마다 무료,"얼마전까지 나에겐 도저히 이룰 수 없을 것 같던 소원이 세 개 있었다‘실종된 큰오빠가 돌아오게 해주세요’‘작은 오빠가 균열 짐꾼을 그만둘 수 있도록 각성하게 해주세요’‘막내 오빠는…눈을 떠주기만 한다면…’더는 바랄 것 없이 행복만 가득할 거라고… 그렇게 생각했는데…“큭… 내 안의 어둠을 숨기기 위해 10년만 놀 테니 조금만 더 고생해라, 막내야”큰오빠는 중2병을 얻고 돌아왔다 “형이 10년만 논다니까 나도 10년만 놀게”작은오빠는 각성한 채로 미래에서 회귀했다(고 주장한다) “신의 총애를 받는 고귀한 혼을 모실 기회를 주마, 멍충한 돼지야”막내오빠는… 생각만 해도 골치 아프니 넘어가자“이 밥버러지 식충이들 당장 나가서 일하지 못해”더는 바랄 것이 없는 소녀가장 이보배의 앞길엔 행복이 가득할 수 있을까?","웃기는,공감되는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9D%98-%EC%97%AC%EB%8F%99%EC%83%9D%EC%9D%B4%EB%8B%A4/3170
상사의 청혼,kakaowebtoon,피피치(해피북스투유),플랜비(공감미디어),로맨스,완결,1일마다 무료,147.5만,3.2만,60,3,1일마다 무료,"""방금, 뭐라고 하셨죠?""""결혼하자고요, 우리 반지가 여전히 빠지지 않으니까""대체 왜 이래요, 나한테**여느 때처럼 특별할 것 없던 주말, 새봄은 약속 장소에서 자신의 상사, 류지헌 전무와 우연히 마주치고,얼떨결에 그가 건네준 반지를 끼고 '가짜 애인'으로 둔갑해 상견례를 마친다집에 온 새봄은 지헌이 막무가내로 끼워준 반지를 빼려 하는데 도무지 뺄 수가 없다 어쩔 수 없이 반지를 끼고 다니게 되는 새봄그 사이 지헌은 새봄에게 마음이 동하기 시작해, '비즈니스'를 가장한 청혼을 제안한다어느새 단단히 엮이기 시작한 둘, 그리고 여전히 빠지지 않는 반지 이 반지에는 새봄이 모르는 비밀이 담겨있다상처뿐인 사랑에 지쳐, 사랑을 외면하려는 두 남녀가유쾌하게, 그리고 지독하게 얽히는 오피스 로코","발랄한,설레는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%83%81%EC%82%AC%EC%9D%98-%EC%B2%AD%ED%98%BC/3580
이번 생은 가주가 되겠습니다,kakaowebtoon,ANTSTUDIO,몬(ANTSTUDIO),로맨스 판타지,연재,월,"3,858.2만",162.6만,150,3,3시간마다 무료,"“…한번 해 보자 내가 가주가 되는 거야” 제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아 게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한 말그대로 제국의 역사 자체 금수저 오브 금수저 인생 당첨 앞으로는 탄탄대로일 거라 생각했는데… 아버지는 돌아가시고, 친척들은 문전박대, 거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야 분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길, 마차에 치여버리기까지 “이건 해도 해도 너무하잖아…” 하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다? 사랑하는 아버지를 다시 보는 것도 믿기지 않는데, 내가 아버지와 가문을 살릴 수도 있다고? 거기다 회귀 전 가문의 원수, 2황자가 대형견마냥 졸졸 쫓아다니기까지? 좋아, 이렇게 된 거 2황자도 가문도 다 내 거다 환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트","통쾌한,몰입되는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%9D%B4%EB%B2%88-%EC%83%9D%EC%9D%80-%EA%B0%80%EC%A3%BC%EA%B0%80-%EB%90%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/2473
최애 구원 소녀,kakaowebtoon,소소만,소소만,로맨스,연재,월,92.8만,2.5만,39,40,연재 무료,"긴 입원 생활의 위로였던 노래를 흥얼거리는 ‘이여주’에게휴대폰 영상 속에서만 보던 아이돌 스타 ‘박재하’가 말을 건다“내가 도와줄게 수술비가 필요한 거지?”그렇게 ‘여주’의 생명의 은인이자 최애가 된 ‘재하’그러나 5년 후, 그는 극단적인 선택으로 생을 마감하고충격에 빠진 ‘여주’는 그를 살려달라 별똥별을 향해 소리친다소원이 이루어진 걸까, 그녀는 7년 전으로 돌아가 당시 탑 아이돌이자 오디션 프로그램 <나는 최강 아이돌>의 심사위원 ‘장보란’의 몸에 빙의하는데오디션 참가자 중엔 연습생 '박재하'가 있다“당신이 날 구원해 준 것처럼, 이번엔 내가 당신을 구할 거예요”","설레는,따뜻한,로맨스,연애물",https://webtoon.kakao.com/content/%EC%B5%9C%EC%95%A0-%EA%B5%AC%EC%9B%90-%EC%86%8C%EB%85%80/3683
마녀의 딸이 남주의 저주를 풀면,kakaowebtoon,슈룹,마루코믹스,로맨스 판타지,연재,월,45.8만,2.5만,54,3,1일마다 무료,"남주에게 야수가 되는 저주를 건 마녀의 수양딸로 빙의해버렸다마녀와 함께 남주를 괴롭히다가 죽고 싶지는 않으니,남주를 지극정성으로 보살폈는데…""부탁이야, 나를 두고 가지 마""""네, 네?""""네가 그랬잖아 네 말만 잘 들으면 먹여주고, 재워주고, 잡아먹어 주겠다고네가 나를 버린 후에도 나는 그 말만 생각하며 버텼어""버려요? 제가요? 누구를요?한 마리 흑표범 같은 남주가 내게 애원을 하며 매달리기 시작했다","발랄한,귀여운,로맨스판타지,성공성장물",https://webtoon.kakao.com/content/%EB%A7%88%EB%85%80%EC%9D%98-%EB%94%B8%EC%9D%B4-%EB%82%A8%EC%A3%BC%EC%9D%98-%EC%A0%80%EC%A3%BC%EB%A5%BC-%ED%92%80%EB%A9%B4/3702
계약하시겠습니까?,kakaowebtoon,슬픈돌망구,지뚱,판타지 드라마,연재,월,79.5만,3.2만,50,3,3시간마다 무료,"대한민국 최고의 부동산 투자 회사의 이사였던 윤석에서  은둔형 외톨이이자 돼지인 김동규로 좌절도 잠시, 복수를 발판 삼아 다시 일어났다 기다려 나를 죽인 대가를 톡톡히 치르게 해줄 테니까 오늘도 난 윤석으로서 계획하고, 김동규로서 실행에 옮긴다","통쾌한,웃기는,판타지드라마,복수물",https://webtoon.kakao.com/content/%EA%B3%84%EC%95%BD%ED%95%98%EC%8B%9C%EA%B2%A0%EC%8A%B5%EB%8B%88%EA%B9%8C/3662
전직 성녀와 흑막의 비밀 연애,kakaowebtoon,49,연아,로맨스 판타지,시즌완결,월,46만,1.6만,46,3,3시간마다 무료,"평범하게 살아가던 휴학생 김지연,그녀는 친구가 보여주었던 로맨스 소설 <성녀의 꽃>에 빙의를 하게 된다 절반밖에 읽지 못한 소설 속에 등장했던 아이올라라는 소녀 성녀인게 분명한 여주인공과 남주인공의 로맨스 속 세계는 자신의 것은 아니다  그래도 소설 속의 인물이 되었으니 행복할 수 있으리라 생각했다 소설 속의 주인공이 된 것처럼 그렇게 하지만 모두가 그녀에게 증오를 던진다 혐오를 말한다여주인공을 괴롭히는 악녀이자 가짜 성녀인 아이올라라고 그러나 아니었다 바로, 아이올라 그녀가 진정한 성녀였다 신의 축복으로 다시 되돌아간 처음의 시작 그녀는 가족도, 증오하는 사람들도, 성녀의 자리도, 사랑했던 약혼자도 다 필요 없었다 과거와는 다른 길을 걸을 것이다""이 세계가 나를 악녀로 만들려고 해도 상관없어난 반드시 살아남아 행복해질 테니까""","분노유발,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%A0%84%EC%A7%81-%EC%84%B1%EB%85%80%EC%99%80-%ED%9D%91%EB%A7%89%EC%9D%98-%EB%B9%84%EB%B0%80-%EC%97%B0%EC%95%A0/3782
레벨업 못하는 플레이어,kakaowebtoon,앵무새,스튜디오 크힛,액션/무협,연재,월,"1,500.4만",46.4만,147,3,3시간마다 무료,"18세의 나이에 '플레이어'로 각성한 김기규'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데튜토리얼을 아무리 클리어해도 레벨11일 1고블린을 해도 레벨15년이 지나도 레벨1""누가 알았겠냐고, 이런 플레이어가 있는지""그 누구도 몰랐다탑을 뒤흔들 레벨1의 역대급 반전 능력을","역동적인,긴장감있는,액션/무협,레벨업물",https://webtoon.kakao.com/content/%EB%A0%88%EB%B2%A8%EC%97%85-%EB%AA%BB%ED%95%98%EB%8A%94-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4/2477
뽑기로 강해진 SSS급 헌터,kakaowebtoon,개작가,윤석준,액션/무협,연재,월,410.6만,13만,30,0,3시간마다 무료,"전재산을 쏟아 부어 헌터로 각성했는데…전투형 스킬 하나 없는 소통, 인내, 게임 탤런트 인간이라고?헌터 사무소 영업직 인생은 이제 그만 살고 싶다고간절히 바라면 이루어지는가인생 최악의 날, 우주로부터 뽑기 스킬을 선물 받는다아이템부터 히어로까지 모든 걸 뽑아내는 갓겜이 시작된다","역동적인,통쾌한,액션/무협,레이드물",https://webtoon.kakao.com/content/%EB%BD%91%EA%B8%B0%EB%A1%9C-%EA%B0%95%ED%95%B4%EC%A7%84-SSS%EA%B8%89-%ED%97%8C%ED%84%B0/2727
가짜는 진짜가 되기를 바라지 않는다,kakaowebtoon,소은,DIDIYA,로맨스 판타지,연재,월,235.1만,7.8만,30,0,3시간마다 무료,"""""내 자리는, 처음부터 없었구나…""""가짜 공녀라 손가락질 받으면서도 가족들의 인정을 받기 위해 헌신했지만모두에게 배신 당한 프시케는 진짜 공녀를 살해하려 했다는 누명을 쓴 채 죽음을 맞는다'내게 다음 생이 주어진다면,절대로 이렇게 살지 않을 것이다'마지막 순간 떠올린 생각 덕이었을까프시케가 눈을 뜨자 진짜 공녀가 돌아오기 전 과거로 돌아가 있었다'당신들에게 휘둘렸던 모든 시간이 후회돼'다시 주어진 삶, 운명의 굴레에서 벗어나 가문이 아닌 나 자신을 위한 삶을 살겠다","설레는,몰입되는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EA%B0%80%EC%A7%9C%EB%8A%94-%EC%A7%84%EC%A7%9C%EA%B0%80-%EB%90%98%EA%B8%B0%EB%A5%BC-%EB%B0%94%EB%9D%BC%EC%A7%80-%EC%95%8A%EB%8A%94%EB%8B%A4/3454
남주가 내 후원을 좋아해!,kakaowebtoon,고라,자라개,판타지 드라마,시즌완결,월,12.3만,"6,081",40,3,3시간마다 무료,"내가 지금까지 한 잘못이라고는 시청자 수 0따리인 게임 스트리밍 방송에 열심히 후원한 죄 밖에 없었다그런데 겨우 그거 가지고 나한테 이런 시련을 주는 건 너무 가혹하잖아“꾸물 거릴 시간 없어”“아, 좀 기다려봐 방어구 구입하잖아요”떨어져 버렸다그것도, 내가 보던 스트리밍 방송 속으로*** 최지혁은 S급 던전 보상으로 나온 소원권을 노려보았다 같이 들어온 헌터들을 빼돌리면서까지 얻은 아이템이었다아무리 이 아이템이 세계의 멸망을 막든, 제 목숨을 걸고 얻은 아이템이건 상관없었다죽더라도 저를 비참하게 버려버린 빌어먹을 성좌의 얼굴을 봐야겠다고 생각했다그런데 그 빌어먹을 성좌가 겨우 20대 초반으로 보이는 여자애일 줄 누가 알았겠는가“채유라”평생 평범하고 평화롭게 살아온 그녀에게는 미안하지만 안타깝게도 그는 절대 그의 성좌를 놓아줄 생각은 없었다“너에게 있어서 내가 제일 중요하다고 말해”적어도, 그가 세상의 끝을 볼 때까지는“어서”","발랄한,설레는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EB%82%A8%EC%A3%BC%EA%B0%80-%EB%82%B4-%ED%9B%84%EC%9B%90%EC%9D%84-%EC%A2%8B%EC%95%84%ED%95%B4/3831
