이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
도령의 가족,kakaowebtoon,미울,BV,드라마,연재,월,115만,3.8만,60,61,연재 무료,"장녀, 장남, 차녀, 차남, 삼녀 그리고 귀여운 막냉이까지짜맞춘 듯 아들 딸 세 명씩 모여 시끌시끌, 복작복작, 왁자지껄한 우리 육남매특별한 일 없이도 하루하루 소란한 그들의 이야기 <도령의 가족>","발랄한,공감되는,드라마,힐링물",https://webtoon.kakao.com/content/%EB%8F%84%EB%A0%B9%EC%9D%98-%EA%B0%80%EC%A1%B1/2684
연애 ㄴㄴ,kakaowebtoon,이제환,부족,로맨스,완결,3일마다 무료,99.4만,2.7만,23,3,3일마다 무료,"올해로 수험생이 된 모범생 김하경,수험생 때 연애하면 망한다는 말을 듣고 연애에 부정적이었지만옆에 한승백에게 첫눈에 반하게 된다하지만 한승백은 소문이 매우 좋지 않은 아이였고그 뒤로 김하경은 많은 일들에 얽히게 된다설상가상으로 소꿉친구였던 권구민도김하경에게 마음을 표현하게 되는데어른들이 하지 말라는 연애를 시작한 김하경과연 김하경은 사랑과, 현실 전부 다 잡을 수 있을까?","공감되는,설레는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%97%B0%EC%95%A0-%E3%84%B4%E3%84%B4/2771
레이디 생존의 법칙,kakaowebtoon,예영,윰윰,로맨스 판타지,완결,3일마다 무료,164.9만,4.8만,74,3,3일마다 무료,"총 네 번의 환생,모두 스물다섯 생일을 넘기기 전에 죽음을 맞았다 하지만 명부에 적힌 수명은 그보다 훨씬 길었고,죽음을 관장하는 염라는 이유를 모른다고 한다내 인생은 블루 스크린인가어쨌거나 결국 생각해낸 묘안, 다섯 번째는 빙의다돈과 권력 그리고 기타 등등 모든 것을 지닌 젊은 여자의 몸에 빙의하여연애도 하면서 가늘고 길게 살겠어그러나 눈을 뜬 후 나는빌어먹을 염라 놈에게 속았다는 걸 발견했다짜릿한 비주얼, 맛있는 막장레이디 생존의 법칙","발랄한,통쾌한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%A0%88%EC%9D%B4%EB%94%94-%EC%83%9D%EC%A1%B4%EC%9D%98-%EB%B2%95%EC%B9%99/2644
유리의 성,kakaowebtoon,"다우, 해원, 시나",언덕,로맨스,완결,15,74.3만,2.7만,90,0,1일마다 무료,"""앞으로 나리의 첫 딸들만이우제국을 지배할 수 있게 되노라""선황의 실정으로 힘없는 황제가 된 유리는 황권을 다지고,황후 재서의 권력을 꺾어버리고자 한다4왕들의 아들을 후궁으로 삼아 인질로 잡고 황후 편에 선 귀족을 끌어오기 위해,유리는 후궁선발전을 선포하기로 결심한다4성을 둘러보던 어느날, 어머니의 반역으로 노비가 된 흑주성 왕자 도하를 만나고, 유리는 엉망이 된 꼴로 사랑을 말하는 그에게 흥미를 느끼게 되는데…과연 유리는 그녀의 바람대로 강력한 황제가 될 수 있을까?황제 유리와 그녀를 둘러싼 피바람 부는 황궁 암투가 시작된다","몰입되는,처절한,로맨스,암투물",https://webtoon.kakao.com/content/%EC%9C%A0%EB%A6%AC%EC%9D%98-%EC%84%B1/2768
이건 명백한 사기결혼이다,kakaowebtoon,제이드,배즙,로맨스 판타지,완결,7일마다 무료,759.4만,12.3만,107,3,7일마다 무료,"가문을 지키기 위한 유일한 방법, 결혼  딱 1년간 남편이 되어줄 사람을 찾기 위해 정보 길드에 중매를 의뢰했다 잘생긴 조건이 흡족하여 결혼했는데, 이 남자 이름이 케레이드가 아니라… “뭐? 칼리어드 대공?” 그 미친 전쟁광, 살인마… 피를 부르는 악의 화신인 칼·리·어·드 대공 이라니 토끼 같은 레이린의 목숨 건 계약 결혼,  <이건 명백한 사기결혼이다>","발랄한,설레는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EC%9D%B4%EA%B1%B4-%EB%AA%85%EB%B0%B1%ED%95%9C-%EC%82%AC%EA%B8%B0%EA%B2%B0%ED%98%BC%EC%9D%B4%EB%8B%A4/2352
사귄 건 아닌데,kakaowebtoon,민홍,민홍,로맨스,완결,15,"9,743.2만",90.9만,30,1,3시간마다 무료,"스물아홉 살, 서른을 목전에 둔 나이 고수아는 그 나이가 괜히 심란하다 고향을 떠나 서울에서 일을 하고 있지만,미래를 생각하면 고민이 많아진다 이곳에서의 삶에 대한 확신이 없기에 그러던 중 대학 시절에 짝사랑했던 후범과 재회하게 된다9년 만의 재회에 다시 살아나는 그때의 감정과거에 상처받았던 후범에 대한 마음을 봉합해 나가며 어린 시절에는 몰랐던 후범에 대해서 알아가게 된다 수아에게 다가온 또 다른 남자, 상사 기초롱속 깊은 어른의 다정함을 보여주는 그가당황스러우면서도 마음 한쪽에선 호감이 싹 튼다 고민이 깊어진 스물아홉 살 수아가자신의 마음을 찾아가는 이야기","설레는,가슴먹먹한,로맨스,연애물",https://webtoon.kakao.com/content/%EC%82%AC%EA%B7%84-%EA%B1%B4-%EC%95%84%EB%8B%8C%EB%8D%B0/1933
이미테이션,kakaowebtoon,박경란,박경란,로맨스,완결,12시간마다 무료,299.2만,5.6만,258,13,12시간마다 무료,"""나는 '진짜'를 꿈꿉니다""  약육강식과도 같은 연예계 그곳에서 탑스타와 닮은 이미지로 간신히 발을 걸치고 있던 마하는 천우신조로 인기 방송 프로그램에 출연하는 기회를 얻게 된다  어떻게든 대중들에게 눈도장을 찍기 위해 최선을 다하지만 결과는아이돌 그룹 샥스의 멤버를 다치게 만드는 걸로 끝이 나고 만다  그저 열심히 했던 것뿐인데, 왜 이렇게 돼버린 걸까?  탑스타의 짝퉁 이미지인 마하가 자기 정체성을 찾아 '진짜'가 되는 이야기","설레는,공감되는,로맨스,성공성장물",https://webtoon.kakao.com/content/%EC%9D%B4%EB%AF%B8%ED%85%8C%EC%9D%B4%EC%85%98/2301
옆집남자,kakaowebtoon,임수영,임수영,로맨스,완결,15,"1,727.8만",9만,30,1,3시간마다 무료,서른 살 청춘의 한 가운데에 놓인 작가 지망생의 생계형 로맨스,"설레는,몰입되는,로맨스,동거물",https://webtoon.kakao.com/content/%EC%98%86%EC%A7%91%EB%82%A8%EC%9E%90/1895
묵향 디 오리진,kakaowebtoon,REDZIN,Silva(REDICE STUDIO),액션/무협,완결,2일마다 무료,305.8만,5만,30,0,2일마다 무료,"수많은 세력이 패권을 다투던 드넓은 중원의 무림 어릴 적 마교에 납치되어 암살자로 훈련받은 2044호 고된 훈련 속에서 목숨의 위협을 넘어 치열하게 살아남은 그는 실력을 인정받아 ‘묵향’이란 이름을 얻는다그러나 묵향에게는 언제나 채워지지 않는 갈증이 있었으니, 그것은 바로 검의 길 암살자로 사는 삶에 만족하지 못하던 그때, 묵향은 스승 ‘환사검 유백’을 만나 인생의 큰 변화를 맞이하는데 그는 자신이 좇던 탈마의 경지에 올라 무공의 정점에 오를 수 있을까?수많은 고수와 격돌하며 궁극의 무를 좇는 묵향전설적인 일대기의 서막이 다시 열린다","압도되는,역동적인,액션/무협,성공성장물",https://webtoon.kakao.com/content/%EB%AC%B5%ED%96%A5-%EB%94%94-%EC%98%A4%EB%A6%AC%EC%A7%84/2468
연습생 고영신,kakaowebtoon,정현수,정현수,로맨스,완결,7일마다 무료,280.1만,2.2만,30,0,7일마다 무료,"""내가 너, 예전에 좋아했었다?"" 아이돌 연습생 '고영신' 앞에비주얼+실력 천재 연습생이 나타났다 그런데 그는 다름 아닌초딩 때 건방진 뚱보, '남도영'?  아르바이트 하랴, 밤낮으로 연습하랴몸이 두 개여도 모자란 영신의 팍팍한 일상 속에자꾸만 스며드는 도영  하지만 영신은 데뷔를 위해선그 무엇에도 흔들리지 않겠다고 결심하는데 파란만장 아이돌 지망생의 고군분투기<연습생 고영신>","궁금하게하는,설레는,로맨스,성공성장물",https://webtoon.kakao.com/content/%EC%97%B0%EC%8A%B5%EC%83%9D-%EA%B3%A0%EC%98%81%EC%8B%A0/2479
